"A block identifier with the same properties already exists in the selected store.","Bloka identifikators ar tādām pašām opcijām šajā veikalā jau eksistē."
"Action","Darbība"
"Add New Block","Pievienot jaunu bloku"
"Add New Page","Pievienot jaunu lapu"
"All Countries","Visas valstis"
"Anchor Custom Text","Enkura teksts"
"Anchor Custom Title","Enkura nosaukums"
"Block","Bloks"
"Block Information","Bloka informācija"
"Block Title","Bloka nosaukums"
"CMS Home Page","CMS mājas lapa"
"CMS No Cookies Page","CMS lapa bez sīkdatnēm"
"CMS No Route Page","CMS lapa bez pārvirzīšanas"
"CMS Page","CMS lapa"
"CMS Page Link","CMS lapas saite"
"CMS Page Link Block Template","CMS lapas saites bloka šablons"
"CMS Page Link Inline Template","CMS lapas saites iekļautais šablons"
"CMS Static Block","CMS statisks bloks"
"CMS Static Block Default Template","CMS statiskā bloka noklusētais šablons"
"Collapse All","Atvērt visu"
"Content","Saturs"
"Content Heading","Satura galvene"
"Content Management","Satura pārvaldība"
"Contents of a Static Block","Statiskā bloka saturs"
"Custom Design","Pielāgots dizains"
"Custom Layout","Pielāgots izkārtojums"
"Custom Theme","Pielāgota tēma"
"Date Created","Pievienota laikā"
"Delete Block","Dzēst bloku"
"Delete File","Dzēst failu"
"Delete Folder","Dzēst direktoriju"
"Delete Page","Dzēst lapu"
"Description","Apraksts"
"Design","Dizains"
"Disabled","Izslēgts"
"Disabled Completely","Pilnībā izslēgts"
"Disabled by Default","Izslēgts pēc noklusējuma"
"Edit Block","Labot bloku"
"Edit Page","Labot lapu"
"Edit Page '%s'","Labot '%s'"
"Enable WYSIWYG Editor","Ieslēgt WYSIWYG redaktoru"
"Enabled","Ieslēgts"
"Enabled by Default","Ieslēgts pēc noklusējuma"
"Expand All","Izvērst visu"
"General Information","Vispārīga informācija"
"Go to Home Page","Iet uz sākumlapu"
"Home","Sākums"
"Identifier","Identifikators"
"If empty, the Page Title will be used","Ja tukšs, tad tiks izmantots lapas nosaukums"
"Insert File","Ievietot failu"
"Keywords","Atslēgvārdi"
"Last Modified","Papildināta laikā"
"Layout","Izkārtojums"
"Layout Update XML","Atjaunot izkārtojuma XML"
"Link to a CMS Page","Saite uz CMS lapu"
"Manage Pages","Pārvaldīt lapas"
"Media Storage","Mediju uzglabāšana"
"Meta Description","Meta apraksts"
"Meta Keywords","Meta atslēgas vārdi"
"New Block","Jauns bloks"
"New Folder Name:","Jauns direktorijas nosaukums:"
"New Page","Jauna lapa"
"No files found","Faili nav atrasti"
"Page Information","Lapas informācija"
"Page Title","Lapas nosaukums"
"Pages","Lapas"
"Redirect to CMS-page if Cookies are Disabled","Pārvirzīt uz CMS lapu, ja sīkdatnes ir izslēgtas"
"Save Block","Saglabāt bloku"
"Save Page","Saglabāt lapu"
"Select Block...","Izvēlēties bloku..."
"Select Page...","Izvēlēties lapu..."
"Show Breadcrumbs for CMS Pages","Rādīt ceļu CMS lapām"
"Show Notice if JavaScript is Disabled","Rādīt paziņojumu ja JavaScript ir izslēgts"
"Static Blocks","Statiskie bloki"
"Status","Statuss"
"Storage Root","Glabāšanas pamatdirektorija"
"Store View","Veikala skats"
"Template","Šablons"
"The page has been deleted.","Lapa tika nodzēsta."
"This block no longer exists.","Šis bloks vairs neeksistē."
"This page no longer exists.","Šī lapa vairs neeksistē."
"Title","Nosaukums"
"URL Key","URL atslēga"
"WYSIWYG Options","WYSIWYG iestatījumi"
