"%s Item(s)","%s Prece(s)"
"-- Please Select --","-- Lūdzu, izvēlieties --"
"About the calendar","Par kalendāru"
"Account","Konts"
"All Pages","Visas lapas"
"Allow","Atļaut"
"Close","Aizvērt"
"Close Window","Aizvērt logu"
"Empty","Tukšs"
"Go Today","Šodien"
"Items %s to %s of %s total","Preces no %s līdz %s; (kopā  %s)"
"Left Column","Kreisā kolonna"
"Menu","Izvēlne"
"Next","Nākošais"
"Page:","Lapa:"
"Previous","Iepriekšējais"
"Right Column","Labā kolonna"
"Search","Meklēt"
"Show","Rādīt"
"View All","Aplūkot visus"
"Welcome, %s!","Sveicināti, %s!"
"Your Language","Izvēlaties valodu"
"per page","lapā"
