"Abandoned Carts","Pamestie grozi"
"Abandoned carts","Pamestie grozi"
"Action","Darbība"
"Add to Cart","Pievienot grozam"
"Add to Compare","Pievienot salīdzināšanai"
"Add to Wishlist","Pievienot Vēlmju sarakstam"
"Any","Jebkurš"
"Applied Coupon","Piemērots kupons"
"Are you sure?","Vai esat pārliecināts?"
"Bestsellers","Visvairāk pārdotie"
"Carts","Grozi"
"Compared Products Grid Template","Salīdzināto produktu režģa šablons"
"Compared Products List Template","Salīdzināto produktu saraksta šablons"
"Coupons","Kuponi"
"Coupons Usage Report","Kuponu lietošanas atskaite"
"Created At","Izveidots"
"Current Month Starts","Patreizējais mēnesis sākas"
"Customer","Klients"
"Customer Name","Klienta vārds"
"Customers","Klienti"
"Customers Report","Klientu atskaites"
"Customers Reviews","Klientu atsauksmes"
"Customers by Number of Orders","Klieti pēc pasūtījumu skaita"
"Customers by Orders Total","Klienti pēc kopējiem pasūtījumiem"
"Customers by number of orders","Klienti pēc pasūtījumu skaita"
"Dashboard","Infopanelis"
"Day","Diena"
"Default Recently Compared Products Count","Noklusētais nesen salīdzināto produktu skaits"
"Default Recently Viewed Products Count","Noklusētais nesen apskatīto produktu skaits"
"Description","Apraksts"
"Detail","Detaļas"
"Downloads","Lejupielādes"
"Email","E-pasts"
"Empty Rows","Tukšās rindas"
"Filter","Filtrēt"
"First Name","Vārds"
"From","No"
"General","Vispārīgi"
"Guest","Viesis"
"Hits","Klikšķi"
"IP Address","IP adrese"
"Invoiced","Piestādīts rēķins"
"Items in Cart","Preces grozā"
"Last Name","Uzvārds"
"Last Review","Pēdējā atsauksme"
"Link","Saite"
"List of Products Recently Viewed by Visitor","Nesen viesu apskatīto produktu saraksts"
"Low Stock","Mazs krājums"
"Low stock","Mazs krājums"
"Month","Mēnesis"
"Most Viewed","Visvairāk skatītie"
"Name","Vārds"
"New Accounts","Jauni konti"
"No","Nē"
"Number of Items","Produktu skaits"
"Number of Products to display","Rādāmo produktu skaits"
"Number of Total Tags","Kopējais birku skaits"
"Number of Unique Tags","Unikālu birku skaits"
"Number of Views","Skatīta"
"Order Status","Pasūtījuma statuss"
"Order Taxes Report Grouped by Tax Rate","Pasūtījumu nodikļu atskaite šķirota pēc nodokļu likmes"
"Orders","Pasūtījumi"
"Out of stock","Nav pieejams"
"Period","Periods"
"Popular Tags","Izplatītākās birkas"
"Price","Cena"
"Product Name","Produkta nosaukums"
"Product Reviews","Produktu atsauksmes"
"Product SKU","Preces artikuls"
"Product Tags","Preces birkas"
"Products","Produkti"
"Products Ordered","Pasūtītie produkti"
"Products Report","Produktu atskaite"
"Products Reviews","Produktu atsauksmes"
"Products Tags","Preču birkas"
"Products in carts","Produkti grozos"
"Purchases","Pirkumi"
"Quantity Ordered","Pasūtījumu skaits"
"Recently Compared","Nesen salīdzinātie"
"Recently Compared Products","Nesen salīdzinātie produkti"
"Recently Viewed","Nesen apskatītie"
"Recently Viewed Products","Nesen apskatītie produkti"
"Recently Viewed/Compared Products","Nesen apskatītie/salīdzinātie produkti"
"Refresh Lifetime Statistics","Atjaunot visa darbības laika statistiku"
"Refresh Statistics","Atjaunot statistiku"
"Refresh Statistics for the Last Day","Atjaunot pēdējās dienas statistiku"
"Refunds","Atmaksas"
"Report","Atskaite"
"Reports","Atskaites"
"Results","Rezultāti"
"Revenue","Peļņa"
"Review","Pārskats"
"Reviews","Pārskati"
"Sales","Pārdošana"
"Sales Report","Pārdošanas atskaite"
"Search Query","Meklēšanas pieprasījums"
"Search Terms","Meklētie atslēgvārdi"
"Select day of the month.","Izvēlieties mēneša dienu."
"Shipping","Piegāde"
"Shopping Cart","Grozs"
"Shopping Cart Price Rule","Pirkumu groza kopsummas aprēķina noscījumi"
"Show Actual Values","Rādīt faktiskās vērtības"
"Show Report","Rādīt atskaiti"
"Show for Current","Rādīt patreizējam"
"Specified","Norādītais"
"Statistics","Statistika"
"Subtotal","Starpsumma"
"Tag","Birka"
"Tag Detail","Birkas apraksts"
"Tag Name","Birkas nosaukums"
"Tags submitted to %s","Birkas kas pievienotas %s"
"Tax","Nodokļi"
"Title","Nosaukums"
"To","Kam"
"Total","Kopā"
"Total Invoiced vs. Paid Report","Kopējo izstādīto attiecībā pret samaksāto rēķinu atskaite"
"Total Ordered Report","Kopējo pasūtījumu atskaite"
"Total Refunded Report","Kopējo atmaksu atskaite"
"Total Shipped Report","Visu piegāžu atskaite"
"Total Tags","Birku skaits"
"Updated At","Atjaunots"
"Viewed Products Grid Template","Skatīto produktu režģa šablons"
"Viewed Products List Template","Skatīto produktu saraksta šablons"
"Visible In","Redzams"
"Wishlist Report","Atskaites par vēlmju sarakstiem"
"Wishlists","Vēlmju saraksti"
"Year","Gads"
"Year-To-Date Starts","Gada sākums līdz konkrētajam datumam sākas"
"Yes","Jā"
