" for more information or "," vairāk informācijas vai "
"# of Items (and above)","# produkti (vai vairāk)"
"# of Items vs. Destination","# produkti attiecībā pret galamērķi"
"Allow Shipping to Multiple Addresses","Atļaut piegādi uz vairākām adresēm"
"Calculate Handling Fee","Kalkulēt pakalpojuma maksu"
"Carrier:","Pārvadātājs:"
"City","Pilsēta"
"Close Window","Aizvērt logu"
"Condition","Nosacījums"
"Country","Valsts"
"Custom Value","Pielāgota vērtība"
"Date","Datums"
"Delivered on:","Piegādāts:"
"Delivered to:","Piegādāts uz:"
"Description","Apraksts"
"Displayed Error Message","Parādītais kļūdas ziņojums"
"Divide to equal weight (one request)","Sadalīt svaru vienādās daļās (viens pieprasījums)"
"Enabled","Ieslēgts"
"Error:","Kļūda:"
"Export","Eksportēt"
"Fixed","Fiksēta"
"Flat Rate","Vienota likme"
"Free Shipping","Bezmaksas piegāde"
"Handling Fee","Pakalpojuma maksa"
"Import","Importēt"
"Include Virtual Products in Price Calculation","Iekļaut virtuālos produktus cenu kalkulācijā"
"Info:","Informācija:"
"Invalid Table Rate code for type %s: %s","Nederīgs tarifu tabulas kods tipam %s: %s"
"Invalid Table Rate code type: %s","Nederīgs tarifu tabulas koda tips: %s"
"Invalid Table Rates File Format","Nederīgs likmju tabulas faila formāts"
"Local Time","Vietējais laiks"
"Location","Atrašanās vieta"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maksimālais skaits piegādei uz vairākām adresēm"
"Method Name","Metodes nosaukums"
"Minimum Order Amount","Minimālā pasūtījuma summa"
"None","Neviens"
"Options","Opcijas"
"Order Subtotal (and above)","Pasūtījuma starpsumma (un vairāk)"
"Origin","Izcelsme"
"Per Order","Katrā pasūtījumā"
"Per Package","Katrā iepakojumā"
"Percent","Procenti"
"Price","Cena"
"Price vs. Destination","Cena attiecībā pret piegādes vietu"
"Region/State","Reģions/štats"
"Service Type:","Servisa tips:"
"Ship to Applicable Countries","Piegāde uz piejamajām valstīm"
"Ship to Specific Countries","Piegāde uz norādītajām valstīm"
"Shipment #","Piegāde #"
"Shipped or billed on:","Piegādāts vai apmaksāts:"
"Shipping Methods","Piegādes veidi"
"Shipping Settings","Piegādes iestatījumi"
"Show Method if Not Applicable","Rādīt metodi ja nav piemērojama"
"Signed by:","Parakstīja:"
"Sort Order","Kārtošanas secība"
"Status:","Statuss:"
"Store Pickup","Piegāde veikalā"
"Street Address","Adrese"
"Street Address Line 2","Adrese 2"
"Table Rates","Izmaksas"
"The shipping module is not available.","Piegādes modulis nav pieejams."
"There is no tracking available for this shipment.","Šai piegādei nav pieejama izsekošana."
"There is no tracking available.","Izsekošana nav pieejama."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Šī piegādes metode šobrīd nav pieejama. Ja Jūs vēlētos izmantot šo piegādes metodi, lūdzu sazinieties ar mums."
"Title","Nosaukums"
"Track:","Sekot:"
"Tracking Information","Izsekošanas informācija"
"Tracking Number:","Sekošanas numurs:"
"Tracking information is currently not available. Please ","Izsekošanas informācija pašlaik nav pieejama. Lūdzu "
"Tracking information is currently unavailable.","Izsekošanas informācija šobrīd nav pieejama."
"Type","Veids"
"Use origin weight (few requests)","Lietot izcelsmes svaru (maz pieprasījumu)"
"Weight (and above)","Svars (un vairāk)"
"Weight vs. Destination","Svars attiecībā pret piegādes vietu"
"Weight:","Svars:"
"ZIP/Postal Code","Pasta indekss"
"contact us","sazināties ar mums"
"email us at ","sūtīt e-pastu uz "
