"Action","Darbība"
"Add Sitemap","Pievienot lapas karti"
"Always","Vienmēr"
"CMS Pages Options","CMS lapas opcijas"
"Categories Options","Kategoriju opcijas"
"Daily","Katru dienu"
"Edit Sitemap","Labot lapas karti"
"Enabled","Ieslēgts"
"Error Email Recipient","E-pasta saņēmēja kļūda"
"Error Email Sender","E-pasta sūtītāja kļūda"
"Error Email Template","E-pasta šablona kļūda"
"Filename","Faila nosaukums"
"Frequency","Biežums"
"Generate","Ģenerēt"
"Generation Settings","Ģenerēšanas iestatījumi"
"Google Sitemap","Google lapas karte"
"Hourly","Katru stundu"
"Last Time Generated","Pēdējo reizi ģenerēts"
"Link for Google","Saite priekš Google"
"Monthly","Katru mēnesi"
"Never","Nekad"
"New Sitemap","Jaunas lapas karte"
"Path","Ceļš"
"Priority","Prioritāte"
"Products Options","Produkta opcijas"
"Sitemap","Lapas karte"
"Sitemap generate Warnings","Lapas kartes ģenerētie brīdinājumi"
"Start Time","Sākuma laiks"
"Store View","Veikala skats"
"The priority must be between 0 and 1.","Prioritātei jābūt starp 0 un 1."
"This sitemap no longer exists.","Lapas karte vairs neeksistē."
"Weekly","Katru nedēļu"
"Yearly","Katru gadu"
