"# of Uses","Lietots # reizes"
"Action","Darbība"
"Add","Pievienot"
"Add New Tag","Pievienot jaunu birku"
"Add Tags","Pievienot"
"Add Your Tags:","Pievienot jaunas birkas:"
"Add to Cart","Pievienot grozam"
"Add to Wishlist","Pievienot Vēlmju sarakstam"
"All Tags","Visas birkas"
"Approved","Apstiprināts"
"Are you sure you want to delete this tag?","Vai esat pārliecināts, ka vēlaties dzēst šo birku?"
"Are you sure you want to do this?","Vai tiešām vēlaties to darīt?"
"Are you sure?","Vai esat pārliecināts?"
"Back","Atpakaļ"
"Back to Tags List","Atpakaļ uz birku sarakstu"
"Block Information","Bloka informācija"
"Change status","Mainīt statusu"
"Click on a tag to view your corresponding products.","Klikšķis uz birkas, lai apskatītu atbilstošos produktus."
"Country","Valsts"
"Customers","Klienti"
"Customers Tagged '%s'","Klientu birkas '%s'"
"Delete","Dzēst"
"Delete Tag","Dzēst birku"
"Disabled","Izslēgts"
"Edit Tag '%s'","Labot birku '%s'"
"Email","E-pasts"
"First Name","Vārds"
"General Information","Vispārīga informācija"
"Grid","Režģis"
"Last Name","Uzvārds"
"List","Saraksts"
"My Recent Tags","Pēdējās izveidotās birkas"
"My Tags","Manas birkas"
"Name","Vārds"
"New Tag","Jauna birka"
"No matches found.","Nekas līdzīgs nav atrasts."
"Other people marked this product with these tags:","Citi cilvēki atzīmējuši šo produktu ar šīm birkām:"
"Pending","Gaida"
"Popular","Populārs"
"Popular Tags","Izplatītākās birkas"
"Price","Cena"
"Product Name","Produkta nosaukums"
"Product SKU","Preces artikuls"
"Product Tags","Preces birkas"
"Products","Produkti"
"Products Tagged with '%s'","Preces ar birku '%s'"
"Products tagged with '%s'","Preces ar birku '%s'"
"Remove","Dzēst"
"SKU","Artikuls"
"Save Tag","Saglabāt birku"
"Save and Continue Edit","Saglabāt un turpināt labot"
"Status","Statuss"
"Store View","Veikala skats"
"Tag","Birka"
"Tag Name","Birkas nosaukums"
"Tags","Tagi"
"Tags:","Birkas:"
"Telephone","Tālrunis"
"Unable to find any products tagged with '%s' in the current store","Neizdevās šajā veikalā atrast nevienu preci ar birku '%s'"
"Unable to remove tag. Please, try again later.","Neizdzvās noņemt birku. Lūdzu vēlāk mēģiniet vēlreiz."
"Update","Atjaunināt"
"Use spaces to separate tags. Use single quotes (') for phrases.","Lietojiet atstarpes, lai atdalītu birkas, apostrofus lai sagrupētu frāzēs."
"View All Tags","Visas izveidotās birkas"
"View Customers","Apskatīt klientus"
"View Products","Apskatīt produktus"
"You have not tagged any products yet.","Nav preču, kurām Jūs būtu piešķiruši birku."
"ZIP/Post Code","Pasta indekss"
