"Add","Додади"
"Add New Role","Додади нова улога"
"Admin","Админ"
"Allow","Дозволи"
"Attribute Set","Множество на атрибути"
"Attributes","Атрибути"
"Back","Назад"
"Catalog","Каталог"
"Category ID","Категорија ID"
"City","Град"
"Company","Фирма"
"Country","Држава"
"Coupon Code","Купон код"
"Customer","Купувач"
"Customer Address","Адреса на купувачот"
"Customer First Name","Име на купувач"
"Customer Last Name","Презиме на купувач"
"Delete","Избриши"
"Deny","Одбиј"
"Discount","Попуст"
"Discount Amount","Вредност на попус"
"Edit","Измени"
"Edit Role","Измени улога"
"Email","Емаил"
"First Name","Име"
"Grand Total","Вкупно"
"Guest","Гостин"
"Last Name","Презиме"
"Manage Stock","Менаџирај залиха"
"Maximum Qty Allowed in Shopping Cart","Максимална кол. дозволена во кошничката"
"Minimum Qty Allowed in Shopping Cart","Минимална кол. дозволена во кошничката"
"Order","Нарачка"
"Order Comments","Коментари за нарачката"
"Order Date","Датум на нарачка"
"Order ID","Нарачка ID"
"Order Status","Статус на нарачката"
"Orders","Нарачки"
"Payment Method","Начин на плаќање"
"Phone Number","Телефонски број"
"Position","Позиција"
"Price","Цена"
"Product","Продукт"
"Qty","Кол"
"Role Info","Информации за улога"
"Role Name","Име на улога"
"Roles","Улоги"
"Save","Зачувај"
"Shipping Method","Начин на испорака"
"State","Држава"
"Stock Availability","Достапност на залиха"
"Stock Status","Статус на залиха"
"Store Name","Име на продавница"
"Subtotal","Вкупно"
"System","Систем"
"Tax Rate","Даночна стапка"
"Total Due","Вкупно должи"
"Total Paid","Вкупно платено"
"Update","Ажирирај"
"ZIP/Postal Code","Поштенски код"
