"%s and greater","%s и повеќе"
"Advanced Search","Напредно пребарување"
"All","Сите"
"Catalog Advanced Search","Напредно пребарување"
"Don't see what you're looking for?","Неможеш да го најдеш тоа што го бараш?"
"Go to Home Page","Оди на почетната страна"
"Grid","Мрежа"
"Home","Дома"
"List","Листа"
"No","Не"
"Popular Search Terms","Популарни пребарувани термини"
"Relevance","Релевантност"
"Results","Резултати"
"Search","Барај"
"Search Settings","Поставки за пребарување"
"Search Terms","Термини за пребарување"
"Search results for '%s'","Резултати од пребарување за '%s'"
"Search results for: '%s'","Резултати од пребарување за: '%s'"
"There are no search terms available.","Не се достапни термини за пребарување."
"Yes","Да"
"Your search returns no results.","Пребарувањето не даде резултати."
"up to %s","се до %s"
