"Actions","Акции"
"Add Answer","Додади одговор"
"Add New Answer","Додади нов одговор"
"Add New Poll","Додади нова анкета"
"Answer Title","Назив на одоговорот"
"Answer Title:","Назив на одговорот:"
"Assigned Answers","Назначени одговори"
"Closed","Затвори"
"Community Poll","Анкета"
"Date Closed","Датум на затварање"
"Date Posted","Датум на испраќање"
"Delete","Избриши"
"Delete Answer","Избриши одговор"
"Delete Poll","Избриши анкета"
"Edit Answer '%s'","Измени одговор '%s'"
"Edit Poll '%s'","Измени анкета '%s'"
"Edit Poll Answer","Измени го одговорот"
"New Poll","Нова анкета"
"Number of Responses","Број на одговори"
"Open","Отвори"
"Poll Answers","Одговори"
"Poll Information","Информации за анкетата"
"Poll Question","Прашање на анактета"
"Poll information","Информации за анкетата"
"Save Answer","Зачувај одговор"
"Save Poll","Зачувај анкета"
"Status","Статус"
"Vote","Гласај"
"Votes Count","Број на гласови"
"Votes Count:","Број на гласови:"
