"Action","Акција"
"Add Sitemap","Додади мапа на сајтот"
"Always","Секогаш"
"CMS Pages Options","Опции на CMS станиците"
"Categories Options","Опции за категориите"
"Daily","Дневно"
"Edit Sitemap","Измени ја мапата на сајтот"
"Enabled","Овозможено"
"Filename","Име на датотеката"
"Generation Settings","Поставки за генерирање"
"Google Sitemap","Google мапа на локацијата"
"Monthly","Месечно"
"New Sitemap","Нова мапа на сајтот"
"Path","Патека"
"Priority","Приоритет"
"Products Options","Опции за производите"
"Sitemap","Мапа на сајтот"
"This sitemap no longer exists.","Оваа мапа на сајтот не постои повеќе."
"Weekly","Неделно"
"Yearly","Годишно"
