"-- Please Select --","-- Ве молиме изберете --"
"Actions","Акции"
"All","Сите"
"All Product Types","Сите типови на производи"
"Apply","Примени"
"Big Image","Голема слика"
"Categories","Категории"
"Close","Затвори"
"Continue","Продолжи"
"Delete","Избриши"
"Export to:","Експорт во:"
"Images","Слики"
"Next page","Следна страна"
"Page","Страница"
"Previous page","Претходна страна"
"Products","Продукти"
"Save and Continue Edit","Зачивај и продолжи да изменуваш"
"Select All","Селектирај ги сите"
"Select Visible","Селектирај видливи"
"Settings","Поставки"
"Unselect All","Деселктирај ги сите"
"Unselect Visible","Деселектирај видливи"
"View","Види"
"of %s pages","од %s страници"
"per page","по страна"
