"--Please Select--","ദയവായി തിരഞ്ഞെടുക്കുക-"
"Card Verification Number","കാർഡ് വെരിഫിക്കേഷൻ നമ്പർ"
"Close","അടയ്ക്കുക"
"Credit Card Information","ക്രെഡിറ്റ് കാർഡ് വിവരങ്ങൾ"
"Credit Card Number","ക്രെഡിറ്റ് കാർഡ് നമ്പർ"
"Credit Card Type","ക്രെഡിറ്റ് കാർഡ് ടൈപ്പ്"
"Enabled","പ്രവർത്തനക്ഷമമാക്കി"
"Expiration Date","കാലഹരണപ്പെടുന്ന തീയതി"
"New Order Status","പുതിയ ഓർഡർ നില"
"Payment Action","പേയ്‌മെന്റ് ആക്ഷൻ"
"Sort Order","ക്രമം"
"Test Mode","ടെസ്റ്റ് മോഡ്"
"Title","ശീർഷകം"
"Transaction Key","ഇടപാട് കീ"
"What is this?","ഇത് എന്താണ്?"
