"Address","വിലാസം"
"City","പട്ടണം"
"Close","അടയ്ക്കുക"
"Company","കമ്പനി"
"Configure","കോൺഫിഗർ ചെയ്യുക"
"Continue","തുടരുക"
"Country","രാജ്യം"
"Custom","കസ്റ്റം"
"Daily","ദിവസേന"
"Dynamic","ഡൈനാമിക്"
"Edit","എഡിറ്റുചെയ്യുക"
"Email Address","ഈ - മെയില് വിലാസം"
"Enabled","പ്രവർത്തനക്ഷമമാക്കി"
"Fax","ഫാക്സ്"
"Login","ലോഗിൻ"
"N/A","ബാധകമല്ല"
"No","ഇല്ല"
"Password","പാസ്സ്‌വേര്‍ഡ്‌"
"Payment Action","പേയ്‌മെന്റ് ആക്ഷൻ"
"Payment Method","പണംകൊടുക്കൽരീതി"
"Place Order","ഓർഡർ പ്ലേസ് ചെയ്യുക"
"Please agree to all the terms and conditions before placing the order.","ഓർ‌ഡർ‌ നൽ‌കുന്നതിന് മുമ്പ് ദയവായി എല്ലാ നിബന്ധനകളും വ്യവസ്ഥകളും അംഗീകരിക്കുക."
"Position","സ്ഥാനം"
"Price","വില"
"Product","ഉൽപ്പന്നം"
"Product Name","ഉത്പന്നത്തിന്റെ പേര്"
"Qty","അളവ്"
"Reports","റിപ്പോർട്ടുകൾ"
"Sales","വിൽപ്പന"
"Shipping","ഷിപ്പിംഗ്"
"Sort Order","ക്രമം"
"State/Province","സംസ്ഥാനം / പ്രവിശ്യ"
"Street Address","സ്ട്രീറ്റ് വിലാസം"
"Subtotal","ആകെത്തുക"
"Test Mode","ടെസ്റ്റ് മോഡ്"
"Title","ശീർഷകം"
"Transaction ID","ഇടപാട് ഐഡി"
"VAT Number","VAT നമ്പർ"
"View","കാണുക"
"Yes","അതെ"
"Zip/Postal Code","സിപ് / പോസ്റ്റൽ കോഡ്"
