"-- Please Select --","-Vennligst velg--"
"Add Block Names to Hints","Legg til Block navn på hint"
"Add Secret Key to URLs","Legg hemmelig nøkkel til URLene"
"Add Store Code to Urls","Legge til Butikkoden til nettadresser"
"Admin Base URL","Kontrollpanel Base URL"
"Admin User Emails","Admin bruker e-post"
"Advanced","Avansert"
"Allow Countries","Tillatt land"
"Allow Symlinks","Tillate Symlinks"
"Allowed IPs (comma separated)","Tillatte IP-er (kommaseparert)"
"Anchor Text for Next","Anker test for neste"
"Anchor Text for Previous","Anker Tekst for Forrige"
"Are you sure?","Er du sikker?"
"Auto-redirect to Base URL","Auto-omdirigere til standard-URL"
"Back","Tilbake"
"Backup Options","Alternativer for sikkerhetskopiering"
"Base JavaScript URL","URL til Javascript"
"Base Link URL","Standard Link URL"
"Base Media URL","URL til mediafiler"
"Base Skin URL","URL til stiler (skins)"
"Base URL","Standard URLer"
"Block with name ""%s"" already exists","En blokk med navnet ""%s"" finnes allerede"
"CSS Settings","CSS innstillinger"
"Cache Storage Management","Cache lagringsadministrasjon"
"Can't retrieve request object","Kan ikke hente objekt"
"Can't retrieve entity config: %s","Kan ikke hente konfigurasjon: %s"
"Cancel","Avbryt"
"Cannot complete this operation from non-admin area.","Kan ikke fullføre operasjonen utenfor Admin-panelet."
"Code","Kode"
"Controller file was loaded but class does not exist","Kontrollfilen ble lastet men klassen eksisterer ikke"
"Cookie Domain","Informasjonskapsel-domene"
"Cookie Lifetime","Informasjonskapsel levetid"
"Cookie Path","Informasjonskapselbane"
"Cookie Restriction Mode","Begrenset informasjonskapsel modus"
"Copyright","Opphavsrett"
"Country","Land"
"Create Store","Opprett butikk"
"Create Store View","Opprett butikkvisning"
"Create Website","Opprette nettsted"
"Custom Admin Path","Egendefinerte admin Sti"
"Custom Admin URL","Egendefinert Admin URL"
"Custom Design","Tilpasset design"
"Custom Email 1","Egendefinert epost 1"
"Custom Email 2","Egendefinert epost 2"
"Custom Variables","Tilpassede variabler"
"Customer Support","Kundestøtte"
"Dashboard","Kontrollpanel"
"Date From","Dato fra"
"Date To","Dato til"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" er ikke støttet."
"Debug","Feilsøk"
"Default","Standard"
"Default Country","Standardland"
"Default Description","Standard beskrivelse"
"Default Keywords","Standard Keywords"
"Default No-route URL","Standard No-rute URL-adresse"
"Default Pages","Standardsider"
"Default Robots","Standard roboter"
"Default Store","Standard butikk"
"Default Store View","Standard butikkvisning"
"Default Title","Standard tittel"
"Default Web URL","Standard URL-adresse"
"Delete","Slett"
"Delete Store","Slett butikk"
"Delete Store View","Slett butikkvisning"
"Delete Website","Slett nettsted"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.) but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","Utforming"
"Design Change","Design-endring"
"Developer","Utvikler"
"Developer Client Restrictions","Begrensninger for utviklingsklient"
"Disable Email Communications","Deaktiver e-kommunikasjon"
"Disable Modules Output","Deaktiver modul output"
"Display Demo Store Notice","Vis Demo Butikken Varsel"
"Edit Design Change","Redigere designet"
"Edit Store","Rediger butikk"
"Edit Store View","Rediger butikkvisning"
"Edit Website","Endre nettsted"
"Empty identifier field name","Tomt identifikasjonsfeltnavn"
"Empty main table name","Tomt hovedtabellnavn"
"Enable Charts","Aktiver diagrammer"
"Enabled","Aktivert"
"Enabled for Admin","Aktivert for Admin"
"Enabled for Frontend","Aktivert for Frontend"
"Error in file: ""%s"" - %s","Feil i fil: ""%s"" - %s"
"European Union Countries","EU-land"
"Favicon Icon","Favicon ikon"
"File not found","Finner ikke filen"
"File system","Filsystem"
"First Day of Week","Første dag i uken"
"Flush Cache Storage","Tømme Cache-lager"
"Flush Magento Cache","Tømme Magento Cache"
"Footer","Bunntekst"
"Forgot Password Email Sender","Avsender for ""Glemt passord""-epost"
"Forgot Password Email Template","Glemt passord e-post mal"
"General","Generelt"
"General Contact","Generell kontakt"
"General Settings","Generelle innstillinger"
"HTML Head","HTML Heading"
"Host","Server"
"How many links to display at once.","Hvor mange linker som skal vises samtidig."
"Invalid base url type","Ugyldig base-URL type"
"Invalid block type: %s","Ugyldig blokktype: %s"
"Invalid block: %s","Ugyldig blokk: %s"
"Invalid layout update handle","Ugyldig handle for oppdatering av sideoppsett"
"Invalid messages storage ""%s"" for layout messages initialization","Ugyldig meldingslager ""%s"" for initialisering av meldinger for sideoppsett"
"JavaScript Settings","JavaScript-innstillinger"
"Layout","Oppsett"
"Leave empty for access from any location.","La stå tomt for tilgang fra hvor som helst."
"Locale","Lokal"
"Locale Options","Lokale alternativer"
"Log Settings","Innstillinger for logging"
"Login is Case Sensitive","Påloggingen må ha riktig små og store bokstaver"
"Logo Image","Logobilde"
"Logo Image Alt","Logobilde Alt"
"Logo Image Src","Logo Bilde Src"
"Mail Sending Settings","Epost sending alternativer"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Kontroller at standard-URLen slutter med ' /' (skråstrek), f.eks http://yourdomain/magento/"
"Manage Stores","Administrer butikker"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration"
"Media Storage","Lagringsmedier"
"Merge CSS Files","Flette CSS-filer"
"Merge JavaScript Files","Flette JavaScript-filer"
"Miscellaneous HTML","Diverse HTML"
"Name","Navn"
"New Design Change","Ny designendring"
"New Store","Ny butikk"
"New Store View","Ny lagervisning"
"New Website","Nytt nettsted"
"No","Nei"
"Offloader header","Avlaste header"
"PHP SOAP extension is required.","PHP SOAP utvidelse er nødvendig."
"Package","Pakke"
"Pagination","Paginering"
"Pagination Frame","Paginerings Ramme"
"Pagination Frame Skip","Paginerings Ramme Hopp over"
"Please define flag code.","Definer flaggkode."
"Please enter a number 0 or greater in this field.","Angi et nummer 0 eller større i dette feltet."
"Please enter a number 1 or greater in this field.","Skriv inn et tall større 0 i dette feltet."
"Please enter a number greater than 0 in this field.","Skriv inn et tall større enn 0 i dette feltet."
"Please enter a valid $ amount. For example $100.00.","Fyll inn et gyldig beløp. For eksempel 100."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Fyll inn en gyldig URL. For eksempel http://www.eksempel.no eller www.eksempel.no"
"Please enter a valid credit card number.","Angi et gyldig kredittkortnummer."
"Please enter a valid date.","Vennligst angi en gyldig dato."
"Please enter a valid email address. For example johndoe@domain.com.","Fyll inn en gyldig e-postadresse. For eksempel ola@normann.no."
"Please enter a valid month (1-12).","Angi en gyldig måned (1-12)."
"Please enter a valid number in this field.","Vennligst skriv inn et gyldig tall i dette feltet."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Skriv inn et gyldig telefonnummer. For eksempel (123) 456-7890 eller 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Fyll inn et gyldig personnummer."
"Please enter a valid zip code.","Vennligst skriv inn en gyldig zip-kode."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Fyll inn et gyldig postnummer."
