"API Login ID","API påloggings-ID"
"Accepted Currency","Akseptert valuta"
"Authorize Only","Bare godkjenne"
"Authorize and Capture","Godkjenn og fang"
"Authorize.net","Authorize.net."
"Cancel","Avbryt"
"Credit Card Types","Kredittkorttyper"
"Credit Card Verification","Bankkort-verifisering"
"Debug","Feilsøk"
"Email Customer","E-post kunde"
"Enabled","Aktivert"
"Invalid amount for authorization.","Ugyldig beløp for godkjenning."
"Invalid amount for capture.","Ugyldig beløp for mottak."
"Invalid amount for refund.","Ugyldig beløp for tilbakebetaling."
"Maximum Order Total","Maks ordretotal"
"Merchant's Email","Forhandlerens e-post"
"Minimum Order Total","Minimum ordretotal"
"New Order Status","Ny ordrestatus"
"Payment Action","Betalingshandling"
"Payment authorization error.","Godkjenning av betaling feilet."
"Payment capturing error.","Fullføring av transaksjonen feilet."
"Payment from Applicable Countries","Betaling fra aktuelle land"
"Payment from Specific Countries","Betaling fra bestemte land"
"Payment refunding error.","Tilbakebetaling feilet."
"Payment voiding error.","Fullføring av transaksjonen feilet."
"Sort Order","Sorteringsrekkefølge"
"Test Mode","Testmodus"
"Title","Tittel"
"Transaction Key","Transaksjonsnøkkel"
"authorize","autoriser"
"authorize and capture","godkjenn og fang"
"capture","fange"
"failed","mislyktes"
"refund","tilbakebetaling"
"successful","vellykket"
"void","Ugyldig"
