"%d Review(s)","%d omtale(r)"
"%s Review(s)","%s omtale(r)"
"(Posted on %s)","(Sendt inn %s)"
"1 star","1 stjerne"
"2 stars","2 stjerner"
"3 stars","3 stjerner"
"4 stars","4 stjerner"
"5 stars","5 stjerner"
"Add New Review","Legg til omtale"
"Add Your Review","Legg til produktanmeldelse"
"Administrator","Admin"
"All Reviews","Alle produktanmeldelser"
"Allow Guests to Write Reviews","Tillat gjester å skrive produktanmeldelser"
"Approved","Godkjent"
"Are you sure you want to do this?","Er du sikker på at du vil gjøre dette?"
"Are you sure?","Er du sikker?"
"Average Customer Rating","Gjennomsnittlig kundevurdering"
"Average Customer Rating:","Gjennomsnittlig kundevurdering:"
"Back","Tilbake"
"Back to My Reviews","Tilbake til produktanmeldelser"
"Back to Product Reviews","Tilbake til produktanmeldelser"
"Be the first to review this product","Bli den første til å omtale produktet"
"Created On","Opprettet"
"Customer","Kunde"
"Customer Reviews","Omtaler fra kunder"
"Customers Reviews","Kundeomtaler"
"Delete","Slett"
"Delete Review","Slett omtale"
"Detailed Rating","Detaljert vurdering"
"Edit Review '%s'","Rediger omtale '%s'"
"Guest","Gjest"
"How do you rate this product?","Hvordan vurderer du dette produktet?"
"ID","Id"
"Manage Ratings","Behandle vurderinger"
"My Product Reviews","Mine produktomtaler"
"My Recent Reviews","Mine siste produktanmeldelser"
"Name","Navn"
"New Review","Ny anmeldelse"
"Nickname","Kallenavn"
"Not Approved","Ikke godkjent"
"Pending","Ventende"
"Pending Reviews","Ventende omtaler"
"Please select a product","Velg et produkt"
"Please select one of each of the ratings above","Velg en karakter under hver kategori over"
"Posted By","Sendt inn av"
"Price","Pris"
"Product","Produkt"
"Product Name","Produktnavn"
"Product Rating","Produktvurdering"
"Product Rating:","Produktvurdering:"
"Product Review (submitted on %s):","Produktomtale (sendt inn %s):"
"Product Reviews","Produktomtaler"
"Product SKU","Varekode"
"Products Reviews","Produktomtaler"
"Qty","Antall"
"Rating:","Vurdering:"
"Review","Omtale"
"Review Details","Se gjennom detaljene"
"Review by %s","Omtale av %s"
"Reviews","Produktomtaler"
"Reviews and Ratings","Omtaler og rangeringer"
"SKU","Varenummer"
"Save Review","Lagre anmeldelse"
"Submit Review","Legg til omtale"
"Summary Rating","Sammendrag rating"
"Summary of Review","Sammendrag av omtale"
"Summary of Your Review","Sammendrag av omtalen"
"Title","Tittel"
"Update Status","Oppdater status"
"View All Reviews","Vis alle omtaler"
"View Details","Vis detaljer"
"Visible In","Synlig i"
"Websites","Nettsider"
"Write Your Own Review","Skriv din egen produktanmeldelse"
"You have submitted no reviews.","Du har ikke skrevet noen produktomtaler."
"You're reviewing:","Du omtaler:"
"Your Rating:","Din vurdering:"
"Your Review (submitted on %s):","Din omtale (sendt inn %s):"
