"""%s"" coupon code is not valid."," Rabattkoden ""%s"" er ikke gyldig."
"%s / %s rate:","%s / %s sats:"
"* - Enter custom price excluding tax","* - Skriv egendefinert pris eks mva"
"* - Enter custom price including tax","* - Skriv egendefinert pris inkl mva"
"* Required Fields","* Nødvendige felt"
"-- Please Select --","-Vennligst velg--"
"-- Please Select Billing Agreement--","-Vennligst velg faktureringsavtale--"
"About This Order:","Om denne bestillingen:"
"About Your Order","Din bestilling"
"About Your Shipment","Om din forsendelse"
"Account Information","Kontoinformasjon"
"Action","Handling"
"Actions","Handlinger"
"Active","Aktiv"
"Add","Legg til"
"Add New Address","Legg til ny adresse"
"Add Order Comments","Legg til kommentarer til ordren"
"Add Package","Legg til pakke"
"Add Products","Legg til produkter"
"Add Selected Product(s) to Option","Legg til valgte produkt(er)"
"Add Selected Product(s) to Order","Legg valgte produkt(er) til ordre"
"Add Selected Product(s) to Package","Legger til valgte produkt(er) til pakken"
"Add To Order","Legg til i bestillingen"
"Add Tracking Number","Legge til sporingsnummer"
"Add comment to order","Legg til kommentar på ordre"
"Add new comment to shipment","Legg til ny kommentar på forsendelse"
"Add new tracking number","Legg til nytt sendingsnummer"
"Add to Cart","Legg i handlekurv"
"Address","Adresse"
"Adjustment Fee","Justeringsavgift"
"Adjustment Refund","Tilbakebetaling av endringsgebyr"
"Allow Reorder","Tillat bestilling på nytt"
"Amount","Antall"
"An error occurred while creating shipping label.","Det oppstod en feil under oppretting av fraktetikett."
"Anchor Custom Title","Anker egendefinert tittel"
"Append Comments","Legg til kommentarer"
"Apply","Anvend"
"Apply Coupon Code","Bruk kupongkode"
"Are you sure you want to cancel this order?","Er du sikker på at du vil kansellere denne bestillingen?"
"Are you sure you want to delete all items from shopping cart?","Er du sikker på at du vil slette alle varer fra handlekurv?"
"Are you sure you want to do this?","Er du sikker på at du vil gjøre dette?"
"Are you sure?","Er du sikker?"
"Authorization","Autorisasjon"
"Back","Tilbake"
"Back to Billing Agreements","Tilbake til faktureringsavtaler"
"Back to My Orders","Tilbake til mine ordre"
"Backordered","Restordre"
"Bestsellers","Bestselgere"
"Bill to Name","Faktur�r til"
"Billing","Fakturering"
"Billing Address","Faktureringsadresse"
"Billing Agreement","Faktureringsavtale"
"Billing Agreements","Faktureringsavtaler"
"Billing Last Name","Faktura etternavn"
"Buy %s for price %s","Kjøp %s for %s"
"Cancel","Avbryt"
"Cancel invoice","Annulèr faktura"
"Cancel order","Annulèr ordre"
"Canceled","Avbrutt"
"Cannot create an empty shipment.","Kan ikke opprette tom forsendelse."
"Capture","Fange"
"Capture Amount","Innkrev beløp"
"Capture Offline","Fang Offline"
"Capture Online","Motta betaling online"
"Capture invoice","Gjør opp faktura"
"Carrier","Transportør"
"Carrier/Method","Transportør/Metode"
"Change status, add comments","Endre status, legg til kommentarer"
"Changing address information will not recalculate shipping, tax or other order amount.","Å endre adressen vil ikke beregne frakt eller andre beløp."
"City","By"
"Clear Shopping Cart","Tøm handlekurv"
"Click to change shipping method","Klikk for å endre shipping metode"
"Close","Lukk"
"Closed","Lukket"
"Comma-separated.","Kommadelt."
"Comment","Kommentar"
"Comment Text","Kommentar tekst"
"Comments","Kommentarer"
"Comments History","Kommentarer Historikk"
"Company","Bedrift"
"Complete","Ferdig"
"Configure","Konfigurer"
"Contents","Innholdet"
"Continue","Fortsett"
"Country","Land"
"Coupons","Rabattkoder"
"Create","Opprett"
"Create New Customer","Opprett ny kunde"
"Create New Order","Opprette ny ordre"
"Create New Order for %s","Opprett ny bestilling for %s"
"Create New Order for %s in %s","Opprett ny bestilling for %s i %s"
"Create New Order for New Customer","Opprett ny bestilling for ny kunde"
"Create New Order for New Customer in %s","Opprett ny bestilling for ny kunde i %s"
"Create New Status","Lag ny status"
"Create Order","Opprette ordre"
"Create Packages","Lage pakker"
"Create Shipment","Opprett forsendelse"
"Create Shipping Label","Opprette fraktetikett"
"Create Shipping Label...","Opprett fraktetikett..."
"Create new invoice for order","Opprett ny faktura for ordre"
"Create new shipment for order","Opprett ny forsendelse for ordre"
"Created At","Opprettet"
"Created:","Opprettet:"
"Credit Memo","Kreditnota"
"Credit Memo #","Kreditnota # "
"Credit Memo # ","Kreditnota # "
"Credit Memo Comment Email Sender","Epost-avsender for kreditnota"
"Credit Memo Comment Email Template","Mal for kommentarer til kreditnota"
"Credit Memo Comment Email Template for Guest","Mal for kommentarer til kreditnota (for gjester)"
"Credit Memo Comments","Kommentarer til kreditnota"
"Credit Memo Email Sender","Epost-avsender for kreditnota"
"Credit Memo Email Template","Mal for kreditnota-epost"
"Credit Memo Email Template for Guest","Mal for kreditnota-epost (for gjester)"
"Credit Memo Update","Kreditnotaoppdatering"
"Credit Memo Update for Guest","Kreditnotaoppdatering (for gjester)"
"Credit Memos","Kreditnotaer"
"Custom Price","Egendefinert pris"
"Custom Value","Egendefinert verdi"
"Customer","Kunde"
"Customer Group","Kundegruppe"
"Customer Last Name","Kunde etternavn"
"Customer Name","Kundenavn"
