"# of Uses","Antall brukere"
"Action","Handling"
"Add","Legg til"
"Add New Tag","Legg til ny tagg"
"Add Tags","Legg til tagger"
"Add Your Tags:","Legg til tagger:"
"Add to Cart","Legg i handlekurv"
"Add to Wishlist","Legg i ønskelisten"
"All Tags","Alle tagger"
"Approved","Godkjent"
"Are you sure you want to delete this tag?","Er du sikker på at du vil slette taggen?"
"Are you sure you want to do this?","Er du sikker på at du vil gjøre dette?"
"Are you sure?","Er du sikker?"
"Back","Tilbake"
"Back to Tags List","Tilbake til listen over tagger"
"Block Information","Blokkinformasjon"
"Change status","Endre status"
"Click on a tag to view your corresponding products.","Klikk på en tagg for å vise tilsvarende produkter"
"Country","Land"
"Customer Since","Kunde siden"
"Customers","Kunder"
"Customers Tagged '%s'","Kunder som har brukt taggen '%s'"
"Delete","Slett"
"Delete Tag","Slett taggen"
"Disabled","Deaktivert"
"Edit Tag '%s'","Endre tagg '%s'"
"Email","E-post"
"First Name","Fornavn"
"General Information","Generell Informasjon"
"Grid","Rutenett"
"ID","Id"
"Last Name","Etternavn"
"List","Liste"
"My Recent Tags","Mine siste tagger"
"My Tags","Mine tagger"
"Name","Navn"
"New Tag","Ny tagg"
"No matches found.","Fant ingen treff."
"Other people marked this product with these tags:","Andre merket produktet med disse taggene:"
"Pending","Ventende"
"Pending Tags","Ventende tagger"
"Popular","Populære"
"Popular Tags","Populære tagger"
"Price","Pris"
"Product Name","Produktnavn"
"Product SKU","Varekode"
"Product Tags","Produkttagger"
"Products","Produkter"
"Products Tagged with '%s'","Produkter tagget med '%s'"
"Products tagged with '%s'","Produkter tagget med '%s'"
"Remove","Fjern"
"SKU","Varenummer"
"Save Tag","Lagre tagg"
"Save and Continue Edit","Lagre og fortsett redigering"
"Store View","Butikkvisning"
"Tag","Tagg"
"Tag Name","Taggnavn"
"Tags","Merkelapper"
"Tags:","Tagger:"
"Telephone","Telefon"
"Unable to find any products tagged with '%s' in the current store","Finner ingen produkter merket med '%s' i gjeldende butikk"
"Unable to remove tag. Please, try again later.","Kunne ikke slette tagg. Vennligst prøv igjen senere."
"Update","Oppdater"
"Use spaces to separate tags. Use single quotes (') for phrases.","Bruk mellomrom for å skille tagger. Omgi setninger med apostrof (')."
"View All Tags","Vis alle tagger"
"View Customers","Vis kunder"
"View Products","Vis produkter"
"You have not tagged any products yet.","Du har ikke tagget noen produkter ennå."
"ZIP/Post Code","Postnummer"
"[STORE VIEW]","[LAGERVISNING]"
