"-- Please Select --","-- Selecteer --"
"Add Secret Key to URLs","Voeg geheime sleutel toe aan URL's"
"Add Store Code to Urls","Winkelcode aan URL's toevoegen"
"Admin","Beheerder"
"Admin Base URL","Admin basis-URL"
"Admin User Emails","Admin gebruikerse-mails"
"Advanced","Geavanceerd"
"Allow Countries","Sta landen toe"
"Allow Symlinks","Symlinks toestaan"
"Allowed IPs (comma separated)","Toegestane IP's (door komma's gescheiden)"
"Anchor Text for Next","Ankertekst voor 'Volgende'"
"Anchor Text for Previous","Ankertekst voor 'Vorige'"
"Are you sure?","Weet je het zeker?"
"Auto-redirect to Base URL","Auto-doorverwijzing naar de Basis URL"
"Back","Terug"
"Backup Options","Back-up opties"
"Base Link URL","Basislink-URL"
"Base URL","Basisurl"
"Browser Capabilities Detection","Detectie van browsermogelijkheden"
"CSS Settings","CSS instellingen"
"Cache Storage Management","Beheer cachegeheugen"
"Cancel","Annuleer"
"Card type does not match credit card number.","Creditcardtype matcht niet met het creditcardnummer."
"Code","Interne naam"
"Cookie Domain","Cookie Domein"
"Cookie Lifetime","Cookie levensduur"
"Cookie Path","Cookie Pad"
"Cookie Restriction Mode","Cookie restrictiemodus"
"Copyright","Auteursrecht"
"Country","Land"
"Create Store","Winkel aanmaken"
"Create Store View","Winkelaanzicht aanmaken"
"Create Website","Website aanmaken"
"Credit card number does not match credit card type.","Het creditcardnummer komt niet overeen met het type creditcard."
"Custom Admin Path","Aangepast Admin-pad"
"Custom Admin URL","Aangepaste admin-URL"
"Custom Design","Eigen ontwerp"
"Custom Email 1","Aangepaste e-mail 1"
"Custom Email 2","Aangepaste e-mail 2"
"Custom Variables","Custom Variabelen"
"Customer Support","Klantenservice"
"Date From","Datum vanaf"
"Date To","Datum tot"
"Debug","Fouten opsporen"
"Default","Standaard"
"Default Country","Standaardland"
"Default No-route URL","Standaard-URL Niet gevonden"
"Default Pages","Standaardpagina's"
"Default Robots","Standaard Robots"
"Default Store","Standaard Winkel"
"Default Store View","Standaard Winkelaanzicht"
"Default Title","Standaardtitel"
"Default Web URL","Standaard-web-URL"
"Delete","Verwijder"
"Delete Store","Winkel verwijderen"
"Delete Store View","Winkelaanzicht verwijderen"
"Design","Ontwerp"
"Design Change","Ontwerpwijziging"
"Developer","Ontwikkelaar"
"Developer Client Restrictions","Beperk bewerkingen in omgeving o.b.v. IP adres"
"Disable Email Communications","Schakel e-mailcommunicatie uit"
"Disable Modules Output","Schakel uitvoer van modules uit"
"Display Demo Store Notice","Toon melding demowinkel"
"Duplicate Of Template Name","Kopie van sjabloon-naam"
"Edit Design Change","Ontwerpverandering bewerken"
"Edit Store","Winkel bewerken"
"Edit Store View","Winkelaanzicht bewerken"
"Enable Charts","Activeer grafieken"
"Enabled","Ingeschakeld"
"Enabled for Admin","Ingeschakeld voor de administrator"
"Environment Update Time","Updatetijd omgeving"
"European Union Countries","Landen in de Europese Unie"
"Favicon Icon","Favicon Icoon"
