"API Login ID","API Login-ID"
"Accepted Currency","Toegestane valuta"
"Authorize Only","Alleen goedkeuring geven"
"Authorize and Capture","Autoriseren en vastleggen"
"Cancel","Annuleer"
"Credit Card Types","Kredietkaart types"
"Credit Card Verification","Creditcard-verficatie"
"Debug","Fouten opsporen"
"Email Customer","E-mail klant"
"Enabled","Ingeschakeld"
"Invalid amount for capture.","Ongeldig bedrag om te bevestigen."
"Invalid amount for refund.","Ongeldig bedrag voor terugbetaling."
"Maximum Order Total","Maximum orderbedrag"
"Merchant's Email","Handelaar E-mail"
"Minimum Order Total","Minimum orderbedrag"
"New Order Status","Nieuwe orderstatus"
"Payment Action","Betaling"
"Payment capturing error.","Fout bij het invoeren van een betaling."
"Payment from Applicable Countries","Betaling van toepasselijke landen"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"Payment refunding error.","Fout bij terugbetaling."
"Payment voiding error.","Fout bij het vervallen van de betaling."
"Sort Order","Sorteervolgorde"
"Test Mode","Test Modus"
"Title","Titel"
"Transaction Key","Transactiecode"
"authorize","goedkeuren"
"authorize and capture","keur goed en bevestig"
"capture","bevestig"
"failed","mislukt"
"refund","terugbetaling"
"successful","geslaagd"
"void","leeg"
