"All Websites","Alle Websites"
"Display Prices In Emails","Toon prijzen in Email"
"Display Prices In Product Lists","Prijzen tonen in productoverzicht"
"Display Prices In Sales Modules","Prijzen Tonen in verkoop modules"
"Display Prices On Product View Page","Prijzen tonen op product pagina"
"Enable FPT","Verwijderingsbijdrage inschakelen"
"Excluding FPT","Exclusief verwijderingsbijdrage"
"Fixed Product Tax","Product BTW-toeslagen"
"Fixed Product Taxes","Product BTW-toeslagen"
"Include FPT In Subtotal","Inclusief FPT in subtotaal"
"Including FPT and FPT description","Inclusief Verwijderingsbijdrage en omschrijving"
"Including FPT only","Inclusief Verwijderingsbijdrage"
"Total","Totaal"
"Total Incl. Tax","Totaal Incl. BTW"
"Total:","Totaal:"
