"%1$s incl tax.","%1$s z podatkiem"
"* Required Fields","* pola wymagane"
"-- Select --","--Wybierz--"
"Add New Option","Dodaj nową opcję"
"Add Selection","Dodaj wybór"
"As Low as","Już od"
"As low as","Już od"
"Bundle Items","Produkty w pakiecie"
"Bundle Product","Powiązany produkt"
"Buy %1$s for %2$s","Kup %1$s za %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kup %1$s za %2$s (%3$s z podatkiem) za każdy"
"Buy %1$s for %2$s each","Kup %1$s za %2$s za każdy"
"Buy %1$s with %2$s discount each","Kup %1$s z %2$s zniżką na każdym"
"Checkbox","Pole wyboru"
"Choose a selection...","Wybierz selekcje..."
"Click for price","Kliknij po cenę"
"Close","Zamknij"
"Default","Domyślny"
"Default Qty","Domyślna ilość"
"Default Title","Domyślny tytuł"
"Drop-down","Lista rozwijana"
"Dynamic","Dynamiczny"
"Excl. Tax","Bez podatku"
"Excl. Tax:","Bez podatku"
"Fixed","Stały"
"From","Od"
"From:","Z:"
"Gift Message","Wiadomość prezentowa"
"Incl. Tax","Z podatkiem"
"Incl. Tax:","Z podatkiem"
"Input Type","Typ pola"
"Is Required","Jest wymagane"
"Message:","Wiadomość:"
"Multiple Select","Wielokrotny wybór"
"N/A","N/D"
"No options of this product are available.","Brak opcji dla tego produktu."
"None","Brak"
"Percent","Procent"
"Percent Discount","Zniżka procentowa"
"Please Select Products to Add","Proszę wybrać produkty, które mają zostać dodane"
"Please enter a number greater 0 in this field.","Prosimy o podanie numeru większego od 0 w tym polu."
"Please enter search conditions to view products.","Wpisz kryteria wyszukiwania, aby zobaczyć produkty."
"Please select options for product.","Wybierz opcje dla produktu."
"Please specify product option(s).","Proszę określić opcję produktu."
"Position","Pozycja"
"Price Range","Zakres ceny"
"Price Type","Typ ceny"
"Price as configured","Cena z konfiguracji"
"Qty:","Ilość:"
"Radio Buttons","Pola wyboru"
"SKU","<a href=""http://pl.wikipedia.org/wiki/SKU"">SKU</a>"
"Separately","Oddzielnie"
"Ship Bundle Items","Dostawa powiązanych produktów"
"Shipment","Dostawa"
"Store View Title","Tytuł widoku sklepu"
"This product is also part of bundle(s)","Produkt jest również częścią zestawu"
"To","Do"
"To:","Do:"
"Together","Razem"
"Total incl. Tax: %1$s","Łącznie z podatkiem: %1$s"
"Use Default Value","Użyj wartości domyślnej"
"User Defined Qty","Ilość definiowana przez użytkownika"
"and","i"
"each","każdy"
"save","zapisz"
