"(Excl. Tax)","(bez podatku)"
"(Incl. Tax)","(z podatkiem)"
"* Required Fields","* pola wymagane"
"Add New Address","Dodaj nowy adres"
"Add New Condition","Dodaj nowy warunek"
"Add to Cart","Dodaj do koszyka"
"Add to Compare","Porównaj"
"Add to Wishlist","Dodaj do schowka"
"Address","Adres"
"Address %s of %s","Adres %s z %s"
"After Adding a Product Redirect to Shopping Cart","Po dodaniu produktu przekieruj do koszyka"
"Allow Guest Checkout","Zezwól na zamówienia składane przez niezalogowanych"
"Already registered?","Masz już konto?"
"An error occurred in the process of payment","W procesie płatności wystąpił błąd"
"Apply","Zastosuj"
"Apply Coupon","Zastosuj kupon"
"Are you sure you would like to remove this item from the shopping cart?","Czy na pewno chcesz usunąć ten produkt z koszyka?"
"Back","Powrót"
"Back to Billing Information","Wróć do informacji o płatności"
"Back to Select Addresses","Wróć do wyboru adresów"
"Back to Shipping Information","Wróć do informacji o dostawie"
"Back to Shopping Cart","Wróć do koszyka"
"Based on your selection, you may be interested in the following items:","Biorąc pod uwagę Twój wybór, mogą cię interesować również następujące produkty:"
"Billing Address","Adres rozliczeniowy"
"Billing Information","Informacje rozliczeniowe"
"Billing Information - %s","Informacje o płatności - %s"
"Cancel","Anuluj"
"Cancel Coupon","Anuluj kupon"
"Cannot process the item.","Nie można przetworzyć elementu."
"Card Verification Number Visual Reference","Wizualna referencja numeru weryfikacyjnego karty"
"Cart Subtotal:","Suma częściowa w koszyku:"
"Change","Zmień"
"Change Billing Address","Zmień adres rozliczeniowy"
"Checkbox Text","Tekst pola do zaznaczenia"
"Checkout","Zamówienie"
"Checkout Conditions","Warunki zamówienia"
"Checkout Options","Opcje zamówienia"
"Checkout Terms and Conditions","Warunki składania zamówienia"
"Checkout as Guest","Złóż zamówienie bez zakładania konta"
"Checkout as a Guest or Register","Złóż zamówienie jako gość lub załóż konto"
"Checkout with Multiple Addresses","Zamówienie z wieloma adresami"
"City","Miasto"
"Clear Shopping Cart","Opróżnij koszyk"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Kliknij <a href=%s"" onclick=""this.target='_blank'"">tu aby wydrukować</a> kopię potwierdzenia złożenia zamówienia."""
"Close","Zamknij"
"Company","Firma"
"Condition Name","Nazwa warunku"
"Configurable Product Image","Obrazek konfigurowalnego produktu"
"Confirm Password","Potwierdź hasło"
"Content","Zawartość"
"Content Height","Wysokość zawartości"
"Content Height (css)","Wysokość zawartości (css)"
"Continue","Kontynuuj"
"Continue Shopping","Kontynuuj zakupy"
"Continue to Billing Information","Przejdź dalej do szczegółów płatności"
"Continue to Review Your Order","Kontynuuj, aby przejrzeć swoje zamówienie"
"Continue to Shipping Information","Przejdź do informacji o dostawie"
"Country","Kraj"
"Coupon code ""%s"" is not valid.","%s"" nie jest prawidłowym kodem kuponu."""
"Create Billing Address","Utwórz adres rozliczeniowy"
"Create Shipping Address","Utwórz adres dostawy"
"Customer Address is not valid.","Adres klienta jest niepoprawny."
"Customer Information","Informacje o kliencie"
"Data saving problem","Problem podczas zapisywania danych"
"Default Billing","Domyślne rozliczenie"
"Default Shipping","Domyślna dostawa"
"Delete Condition","Usuń warunek"
"Details","Szczegóły"
"Disabled","Wyłączone"
"Discount Codes","Kody rabatowe"
"Display Cart Summary","Wyświetl podsumowanie koszyka"
"Display Shopping Cart Sidebar","Wyświetlaj koszyk w pasku bocznym"
"Display item quantities","Wyświetlaj ilości produktów"
"Display number of items in cart","Wyświetlaj ilość produktów w koszyku"
"Easy access to your order history and status","Za pośrednictwem swojego konta możesz na bieżąco śledzić etapy realizacji zamówienia"
"Edit","Edytuj"
"Edit Address","Edytuj adres"
"Edit Billing Address","Zmień adres rozliczeniowy"
"Edit Condition","Edytuj warunek"
"Edit Items","Edytuj produkty"
"Edit Shipping Address","Zmień adres dostawy"
"Edit Terms and Conditions","Edytuj zasady składania zamówień"
"Edit Your Cart","Edytuj koszyk"
"Edit item","Zmień"
"Edit item parameters","Edytuj parametry produktu"
"Email Address","Adres e-mail"
"Enable Onepage Checkout","Włącz składanie zamówienia na jednej stronie"
"Enable Terms and Conditions","Włącz warunki sprzedaży"
"Enabled","Włączone"
"Enter a New Address","Dodaj nowy adres"
"Enter your coupon code if you have one.","Wpisz kod kuponu rabatowego, jeżeli masz jakiś."
"Enter your destination to get a shipping estimate.","Wpisz miejsce docelowe, aby sprawdzić koszt dostawy."
"Estimate Shipping and Tax","Koszt dostawy i podatku"
"Excl. Tax","Bez podatku"
"Fast and easy check out","W przyszłości nie musisz wypełniać forumlarzy"
"Fax","Faks"
"Forgot an Item?","Zapomniałeś dodać produkt?"
"Forgot your password?","Nie pamiętasz hasła?"
"Get a Quote","Otrzymaj wycenę"
"Gift Message","Wiadomość prezentowa"
"Grand Total:","Łącznie:"
"Grouped Product Image","Obrazek grupowanego produktu"
"ID","Identyfikator"
"Incl. Tax","Z podatkiem"
"Invalid email address ""%s""","Nieprawidłowy adres e-mail ""%s"""
"Invalid shipping method.","Błędna metoda dostawy."
"Items","Pozycje"
"Load customer quote error","Błąd wczytywania zapytania klienta"
"Loading next step...","Ładowanie kolejnego kroku..."
"Login","Zaloguj się"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maksymalna ilość produktów, którą można dostarczyć do różnych adresów to %s"
"Move","Przenieś"
"Move to Wishlist","Przenieś do listy życzeń"
"My Cart","Mój koszyk"
"My Cart (%s item)","Koszyk (%s)"
"My Cart (%s items)","Koszyk (%s)"
"My Cart Link","Link do mojego koszyka"
"New Address","Nowy adres"
"New Condition","Nowy warunek"
"New Terms and Conditions","Nowe warunki składania zamówienia"
"No Payment Methods","Brak metod płatności"
"One Page Checkout","Zamówienie w jednym kroku"
"Order #","Zamówienie #"
"Order Review","Podgląd zamówienia"
"Order Success","Zamówienie zostało przyjęte"
"Password","Hasło"
"Payment Failed Email Reciever","Odbiorca e-maila o nieudanej płatności"
"Payment Failed Email Sender","Nadawca e-maila o nieudanej płatności"
"Payment Failed Emails","E-maile o nieudanej płatności"
"Payment Failed Template","Szablon e-maila nieudanej płatności"
"Payment Information","Informacje o płatności"
"Payment Method","Metoda płatności"
"Payment method is not defined","Metoda płatności nie została wybrana"
"Place Order","Złóż zamówienie"
"Please agree to all Terms and Conditions before placing the order.","Musisz zgodzić się z ogólnymi warunkami składania zamówienia zanim złożysz zamówienie."
"Please agree to all Terms and Conditions before placing the orders.","Musisz zgodzić się z ogólnymi warunkami składania zamówienia zanim złożysz zamówienie."
"Please agree to all the terms and conditions before placing the order.","Prosimy zatwierdzić warunki zamawiania przed jego złożeniem."
"Please choose to register or to checkout as a guest","Prosimy o rejestrację lub złożenie zamówienia jako gość"
"Please log in below:","Skorzystaj z logowania jeżeli posiadasz już konto w naszym sklepie"
"Please select region, state or province","Wybierz województwo"
"Please select shipping address for applicable items","Wybierz adres dostawy dla odpowiednich produktów"
"Please select shipping methods for all addresses","Wybierz metody wysyłki dla wszystkich adresów"
"Please specify payment method.","Prosimy o wybór metody płatności."
"Please specify shipping method.","Prosimy o wybór metody dostawy."
"Price","Cena"
"Proceed to Checkout","Przejdź do kasy"
"Product","Produkt"
"Product Name","Nazwa produktu"
"Products","Produkty"
"Qty","Ilość"
"Qty:","Ilość:"
"Quantity","Ilość"
"Quote Lifetime (days)","Czas przechowywania zawartości koszyka (dni)"
"Recently added item(s)","Ostatnio dodane produkty"
"Register","Złóż zamówienie zakładając jednocześnie konto"
"Register and save time!","Zakładając konto oszczędzasz swój czas!"
"Register to Create an Account","Zarejestruj się i utwórz konto"
"Register with us for future convenience:","Zarejestruj się, aby korzystać z ułatwień:"
"Remove Item","Usuń produkt"
"Remove This Item","Usuń ten element"
"Remove item","Usuń produkt"
"Review Order","Podgląd zamówienia"
"Review Order - %s","Podgląd zamówienia - %s"
"SKU","<a href=""http://pl.wikipedia.org/wiki/SKU"">SKU</a>"
"Sales","Sprzedaż"
"Save Condition","Zapisz warunek"
"Save in address book","Zapisz w książce adresowej"
"See price before order confirmation.","Zobacz cenę przed potwierdzeniem zamówienia."
"Select Address","Wybierz adres"
"Select Addresses","Wybierz adresy"
"Select Shipping Method","Wybierz formę dostawy"
"Select State/Province...","Wybierz województwo..."
"Select a billing address from your address book or enter a new address.","Wybierz adres płatnika z książki adresowej lub utwórz nowy adres."
"Select a shipping address from your address book or enter a new address.","Wybierz adres dostawy z książki adresowej lub wpisz nowy adres."
"Send Payment Failed Email Copy Method","Wyślij kopię e-maila o nieudanej płatności metodą"
"Send Payment Failed Email Copy To","Wyślij kopię e-maila o nieudanej płatności do"
"Send To","Wyślij do"
"Separate by "","".","Oddzielone za pomocą "",""."
"Ship to Multiple Addresses","Dostawa pod wiele adresów"
"Ship to different address","Dostawa pod inny adres"
"Ship to this address","Dostawa pod ten adres"
"Shipping Address","Adres wysyłki"
"Shipping Information","Informacje o dostawie"
"Shipping Method","Metoda dostawy"
"Shipping Methods","Metody dostawy"
"Shipping To","Dostawa do"
"Shipping method has not been selected yet","Nie wybrano jeszcze formy dostawy"
"Shopping Cart","Koszyk"
"Shopping Cart Sidebar","Koszyk w pasku bocznym"
"Shopping Cart is Empty","Koszyk jest pusty"
"Show Content as","Pokaż zawartość jako"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Niestety, rozliczenie bez rejestracji jest niedostępne. Spróbuj ponownie lub skontaktuj się z właścicielem sklepu."
"Sorry, no quotes are available for this order at this time.","Niestety, żadne możliwości nie są dostępne dla tego zamówienia w chwili obecnej."
"State/Province","Województwo"
"Status","Stan"
"Store View","Widok sklepu"
"Street Address","Ulica i numer"
"Submitting order information...","Przetwarzanie zamówienia..."
"Subtotal","Suma częściowa"
"Telephone","Telefon"
"Terms and Conditions","Zasady składania zamówień"
"Terms and Conditions Information","Informacje o warunku"
"Terms and conditions","Warunki składania zamówienia"
"Text","Tekst"
"Thank you for your purchase!","Dziękujemy za złożenie zamówienia!"
"The product does not exist.","Produkt nie istnieje."
"There was an error processing your order. Please contact us or try again later.","Wystąpił problem z przetwarzaniem zamówienia. Skontaktuj się z obsługa sklepu lub spróbuj później."
"This condition no longer exists.","Ten warunek już nie istnieje."
"Total","Łącznie"
"Total for this address","Łącznie dla tego adresu"
"Unit Price","Cena jednostkowa"
"Update","Aktualizuj"
"Update Cart","Przelicz koszyk"
"Update Qty &amp; Addresses","Aktualizuj ilość i adresy"
"Update Shopping Cart","Przelicz koszyk"
"Update Total","Aktualizuj sumę"
"Use Billing Address","Użyj adresu rozliczeniowego"
"VAT Number","Numer NIP (VAT UE)"
"View Shopping Cart","Zobacz koszyk"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Przetwarzamy twoje zamówienie, wkrótce otrzymasz e-mail z jego szczegółami. Po wysłaniu przesyłki otrzymasz e-mail potwierdzający z linkiem do śledzenia statusu zamówienia."
"What's this?","Co to jest?"
"You have no items in your shopping cart.","Nie posiadasz produktów w koszyku."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Otrzymasz e-mail potwierdzający szczegóły zamówienie z linkiem do śledzenia jego postępu."
"Your Checkout Progress","Postęp realizacji zamówienia"
"Your order number is ","Numer twojego zamówienia to "
"Zip/Postal Code","Kod pocztowy"
"or","lub"
