"* Required Fields","* pola wymagane"
"Admin","Administrator"
"Authorize","Autoryzujautoryzuj"
"Callback URL","Zwrotny adres URL"
"Cleanup Probability","Prawdopodobieństwo czyszczenia"
"Cleanup Settings","Ustawienia czyszczenia"
"Close","Zamknij"
"Created At","Utworzono"
"Customer","Klient"
"Delete","Usuń"
"Disable","Wyłącz"
"Disabled","Wyłączone"
"Edit","Edytuj"
"Email","E-mail"
"Email Address","Adres e-mail"
"Enable","Włącz"
"Enabled","Włączone"
"Expiration Period","Okres ważności"
"ID","Identyfikator"
"Invalid Callback URL","Nieoprawny adres zwrotny"
"Invalid Rejected Callback URL","Odrzucone zwrotnego adresu URL"
"Key","Klucz"
"Log In","Zaloguj"
"Login","Zaloguj się"
"Name","Nazwa"
"Password","Hasło"
"Permissions","Uprawnienia"
"Reject","Odrzuć"
"Role Name","Nazwa roli"
"Save","Zapisz"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Status","Stan"
"User ID","ID użytkownika"
"User Name","Nazwa użytkownika"
