"Add","Adicionar"
"Allow Gift Messages for Order Items","Permitir Mensagens de Oferta para Itens do Pedido"
"Allow Gift Messages on Order Level","Permitir Mensagens de Oferta ao Nível do pedido"
"Are you sure?","Você tem certeza?"
"Cancel","Cancelar"
"Do you have any gift items in your order?","Você tem algum item de presente em seu pedido?"
"Edit","Editar"
"From","De"
"Gift Message","Mensagem do presente"
"Gift Options","Opções de presente"
"Gift Options for Individual Items","Opções de presente para itens individuais"
"Item %d of %d","Item %d de %d"
"Message","Mensagem"
"No","Não"
"OK","CONFIRMAR"
"Save Gift Message","Salvar a mensagem de presente"
"To","Até"
"Unknown entity type","Tipo de entidade desconhecida"
"Use config","Usar o config"
"Yes","Sim"
