"2-pixel perimeter around the header space.","Perímetro de 2 pixeis ao redor do espaço do cabeçalho."
"A case that has been resolved and close requires a reimbursement.","Um caso que já foi resolvido e fechado requer um reembolso."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","Ocorreu uma anulação nesta transação porque existe uma disputa de suspeita de falsificação."
"A reversal has occurred on this transaction because you have given the customer a refund.","Ocorreu uma anulação nesta transação porque você reembolsou o cliente."
"A reversal has occurred on this transaction due to a chargeback by your customer.","Ocorreu uma anulação nesta transação devido a um cancelamento por parte do cliente."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","Ocorreu uma anulação nesta transação devido a uma reclamação sobre a transação por parte do cliente."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","Ocorreu uma anulação nesta transação devido a ativação da garantia de reembolso."
"ACH Deposit (Hold for Dispute or Other Investigation)","Depósito ACH (Contenção para Disputa ou Outra Investigação)"
"ACH Deposit (Reversal)","Depósito ACH (Reversão)"
"ACH Funding for Funds Recovery from Account Balance","ACH Financiamento, para recuperação de fundos do saldo da conta"
"ACH Withdrawal","ACH Retirada"
"API Authentication Methods","Métodos de Autenticação da API"
"API Certificate","Certificado da API"
"API Password","Senha da API"
"API Signature","Assinatura da API"
"API Username","Nome de usuário API"
"API Uses Proxy","API usa Proxy"
"Ability for buyer to purchase without PayPal account.","Capacitar comprador para efetuar a compra sem uma conta PayPal."
"Accept payments with a completely customizable checkout page.","Aceite pagamentos com uma página de checkout completamente personalizável."
"Acceptance Mark","Marca de aceitação"
"Acceptance Mark Image","Imagem de Marca de Aceitação"
"Account-to-Account Payment, initiated by PayPal","Conta-para-Conta de Pagamento, Iniciada pelo PayPal"
"Add PayPal as an additional payment method to your checkout page.","Adicione PayPal como método de pagamento adicional à sua página de checkout."
"Add another payment method to your existing solution or as a stand-alone option.","Adicionar outro meio de pagamento para uma solução existente ou uma opção stand-alone."
"Additional Options","Opções Adicionais"
"Address","Endereço"
"Address Verification System Response","Resposta do Sistema de Verificação de Endereço"
"Advanced Settings","Configurações avançadas"
"All the address information matched","Todas as informações do endereço foram correspondidas"
"Allow in Billing Agreement Wizard","Permitir no Assistente de Acordo de Fatura"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Valores permitidos: ""paypal"", primário (pré-definido), o seu valor personalizado (um estilo de página de pagamento personalizado do seu perfil da conta de comerciante)."
"Allowed Credit Card Types","Tipos de Cartão de Crédito permitidos"
"Also affects mini-shopping cart.","Também Afetam o mini-carrinho de compras."
"Ask Customer","Pergunte ao cliente"
"Auction Payment other than through eBay","Pagamento por Leilão sem ser pelo eBay"
"Authorization","Autorização"
"Authorization Honor Period (days)","Período de Honra de Autorização (dias)"
"Auto","Automático"
"AutoSweep","Varredura automática"
"Available Balance","Saldo disponível"
"Balance Manager Account Bonus","Bónus da Conta da Gestão de Saldo"
"Basic Settings - PayPal Express Checkout","Configurações Básicas - PayPal Checkout Rápido"
"Basic Settings - PayPal Payflow Link","Configurações Básicas - PayPal Payflow Link"
"Basic Settings - PayPal Payflow Pro","Configurações Básicas - PayPal Payflow Pro"
"Basic Settings - PayPal Payments Advanced","Definições Básicas - Pagamentos PayPal Advanced"
"Basic Settings - PayPal Payments Pro","Configurações básicas - PayPal Payments Pro"
"Basic Settings - PayPal Payments Pro Hosted Solution","Aa"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Definições Básicas - Solução de Pagamentos PayPal Pro Hosted"
"Billing Agreement Signup","Assinatura do Contrato de Cobrança"
"Billing Information","Dados de Cobrança"
"Bonus for first ACH Use","Bônus para o primeiro uso de ACH"
"Buyer Credit Payment","Pagamento de crédito do comprador"
"Buyer claims that a possible duplicate payment was made to the merchant.","O comprador alega que um provável pagamento duplicado foi feito para o vendedor."
"Buyer claims that he did not receive goods or service.","Comprador afirma que ele não recebeu a mercadoria ou serviço."
"Buyer claims that he/she did not authorize transaction.","O comprador alega que ele/ela não autorizou a transação."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","O comprador afirma que os bens ou serviçõs recebidos diferem da descrição dos mesmos feita pelo vendedor."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","O comprador alega que a mercadoria recebida não é satisfatória, está com defeito ou está danificada."
"Buyer's Tax ID","Os compradores de identificação fiscal"
"Buyer's Tax ID Type","Os compradores Imposto Tipo ID"
"By default it is ""reports.paypal.com"".","Por padrão é ""reports.paypal.com""."
"CVV Entry is Editable","A Entrada CVV é Editável"
"CVV2 Check Result by PayPal","Resultado da Verificação CVV2 pelo PayPal"
"Catalog Category Page","Página de Categoria"
"Catalog Product Page","Página de Produto"
"Charge-off","Reembolso"
"Chargeback","Cancelamento"
"Checkout Cart Page","Página do Carrinho de Compras"
"Checkout with PayPal","Finalizar Compra com PayPal"
"Choose a secure bundled payment solution for your business.","Escolha uma solução de pagamento completa e segura para o seu negócio."
"City","Cidade"
"Close","Fechar"
"Company","Empresa"
"Complaint","Reclamação"
"Configure","Configurar"
"Continue","Próximo"
"Countries Payment Applicable From","Países com Pagamento Aplicável de"
"Country","País"
"Coupon Redemption","Reembolsar Cupom"
"Credit","Crédito"
"Credit Card Settings","Configurações de Cartão de Crédito"
"Currency Conversion required to cover negative balance","Conversão de moeda necessário para cobrir o saldo negativo"
"Custom","Personalizado"
"Custom Endpoint Hostname or IP-Address","Hostname ou Endereço IP do Endpoint Personalizado"
"Custom Path","Caminho Personalizado"
"Daily","Diário"
"Debit","Débito"
"Debit Card Cash Back","Reembolsos de Cartão de Débito"
"Debit Card Transaction","Transação com cartão de débito"
"Debit or Credit","Débito ou Crédito"
"Debug Mode","Modo de depuração"
"Direct Payment API","Pagamento Direto API"
