"Advanced Search","Pesquisa Avançada"
"All","Todos"
"Catalog Advanced Search","Pesquisa Avançada de Catálogo"
"Catalog Search","Pesquisar no Catálogo"
"Don't see what you're looking for?","Não encontra o que procura?"
"Go to Home Page","Ir para Página Inicial"
"Grid","Grelha"
"Home","Início"
"List","Lista"
"Maximum Query Length","Comprimento Máximo da Pesquisa"
"Minimal Query Length","Comprimento Mínimo da Pesquisa"
"No","Não"
"Popular Search Terms","Pesquisas Populares"
"Rebuild Catalog product fulltext search index","Reconstruir o índice de pesquisa de texto do produto do catálogo"
"Relevance","Relevância"
"Results","Resultados"
"Search","Pesquisa"
"Search Settings","Definições de Pesquisa"
"Search Terms","Termos de Pesquisa"
"Search entire store here...","Pesquise toda a loja aqui..."
"There are no search terms available.","Não existem termos de pesquisa disponíveis."
"Yes","Sim"
