"10 minutes","10 minutos"
"15 minutes","15 minutos"
"20 minutes","20 minutos"
"30 minutes","30 minutos"
"5 minutes","5 minutos"
"Daily","Diário"
"Failure History Lifetime","Tempo de vida do Histórico de Falhas"
"Generate Schedules Every","Gerar Agendamentos A Cada"
"History Cleanup Every","Limpar Histórico A Cada"
"Hourly","De hora a hora"
"Minute Intervals","Intervalos de Minutos"
"Missed if Not Run Within","Falha se não for executado dentro de"
"Monthly","Mensal"
"Schedule Ahead for","Agendar antecipadamente para"
"Success History Lifetime","Tempo de vida do Histórico de Sucesso"
"Weekly","Semanal"
