"-- Please select --","-- Por favor selecione --"
"Allowed Currencies","Moedas Permitidas"
"Base Currency","Moeda Base"
"Connection Timeout in Seconds","Tempo Limite da Ligação em Segundos"
"Country","País"
"Country and Format Type combination should be unique","A combinação de País e Tipo de Formato devia ser única"
"Currency","Moeda"
"Currency Options","Opções de Moeda"
"Currency Setup","Configuração de Moeda"
"Currency Update Warnings","Avisos de Atualização de Moeda"
"Default Display Currency","Moeda de Exibição Pré-definida"
"Enabled","Ativo"
"Error Email Recipient","Destinatário de Email de Erro"
"Error Email Sender","Remetente de Email de Erro"
"Error Email Template","Template de Email de Erro"
"FATAL ERROR:","ERRO FATAL:"
"Frequency","Frequência"
"Installed Currencies","Moedas Instaladas"
"Scheduled Import Settings","Definições de Importação Agendada"
"Service","Serviço"
"Start Time","Hora de início"
"State/Province","Concelho/Distrito"
"WARNING:","AVISO:"
