"* Required Fields","* Campos Obrigatórios"
"Admin","Administrador"
"Authorize","Autorizar"
"Callback URL","URL de Callback"
"Cleanup Probability","Probabilidade de Limpeza"
"Cleanup Settings","Definições de Limpeza"
"Close","Fechar"
"Created At","Criado em"
"Customer","Cliente"
"Delete","Eliminar"
"Disable","Desativar"
"Disabled","Inativo"
"Edit","Editar"
"Email","Correio electrónico"
"Email Address","Endereço de Email"
"Enable","Ativar"
"Enabled","Ativo"
"Expiration Period","Período de Expiração"
"ID","Id."
"Invalid Callback URL","URL de Callback inválido"
"Invalid Rejected Callback URL","URL de Callback Inválido Rejeitado"
"Key","Chave"
"Login","Iniciar Sessão"
"Name","Nome"
"Password","Palavra-passe"
"Permissions","Permissões"
"Role Name","Nome da Função"
"Save","Gravar"
"Save and Continue Edit","Gravar e Continuar Edição"
"Status","Estado"
"System","Sistema"
"User ID","ID de Utilizador"
"User Name","Nome de utilizador"
