"-- Please Select --","-- Por favor, selecione --"
"1 column","1 coluna"
"2 columns with left bar","2 colunas com a barra à esquerda"
"2 columns with right bar","2 colunas com a barra à direita"
"3 columns","3 colunas"
"About the calendar","Sobre o calendário"
"Account","Conta"
"All Pages","Todas as Páginas"
"Allow","Autorizar"
"Close","Fechar"
"Close Window","Fechar janela"
"Default welcome msg!","Mensagem de boas-vindas pré-definida!"
"Empty","Vazio"
"Go Today","Hoje"
"JavaScript seems to be disabled in your browser.","O JavaScript parece estar desativado no seu browser."
"Left Column","Coluna esquerda"
"Next","Seguinte"
"Previous","Anterior"
"Report All Bugs","Reportar Todos Os Bugs"
"Right Column","Coluna Direita"
"Search","Pesquisa"
"Select Store","Selecionar Loja"
"Show","Mostrar"
"View All","Ver tudo"
"Your Language","O seu Idioma"
"Your Language:","O seu Idioma:"
"per page","por página"
