"Catalog","Catálogo"
"Click for price","Clique para ver o preço"
"Coupons/Discounts","Cupões/Descontos"
"Discount","Desconto"
"Enable RSS","Ativar RSS"
"From:","De:"
"Get Feed","Obter Feed"
"Gift Message","Mensagem da Oferta"
"Grand Total","Preço Final"
"Low Stock Products","Produtos com Stock Baixo"
"Message:","Mensagem:"
"Miscellaneous Feeds","Feeds Diversos"
"New Orders","Novas encomendas"
"New Products","Novos Produtos"
"Order","Encomenda"
"Pending product review(s)","Avaliações de produto pendentes"
"RSS Feeds","Feeds RSS"
"RSS Feeds Section","Secção de Feeds RSS"
"Rss Config","Configuração Rss"
"Special Products","Produtos Especiais"
"Subtotal","Sub-total"
"Tax","Taxa"
"To:","Para:"
"Top Level Category","Categoria de Topo"
"Wishlist","Lista de desejos"
