"ALL","TODOS"
"ANY","QUALQUER"
"Add","Adicionar"
"Apply","Aplicar"
"Conditions Combination","Combinação de Condições"
"FALSE","FALSO"
"Open Chooser","Abrir o Seletor"
"Perform following actions","Executar a sequência de acções"
"Remove","Eliminar"
"TRUE","VERDADEIRO"
"by","por"
"contains","contém"
"does not contain","não contém"
"does not contains","não contém"
"equals or greater than","superior ou igual a"
"equals or less than","inferior ou igual a"
"for","para"
"for greater than","para maior que"
"for or greater than","para ou superior a"
"found","encontrado"
"from","de"
"greater than","superior a"
"is","está"
"is not","não está"
"is not one of","não é um dos"
"is one of","é um dos"
"less than","inferior a"
"not found","não foi encontrado"
"not from","não é de"
"to","para"
"was","foi"
"was not","não foi"
