"1 Day Freight","Frete de 1 dia"
"2 Day","2 Dias"
"2 Day AM","2º Dia de Manhã"
"2 Day Freight","Frete de 2 dias"
"3 Day Freight","Frete de 3 dias"
"Access ID","ID de Acesso"
"Account ID","ID da conta"
"Account Number","Número de Conta"
"Adult","Adulto"
"Allowed Methods","Métodos Permitidos"
"Business Service Center","Central de Serviços Comerciais"
"Calculate Handling Fee","Calcular Taxa de Processamento"
"Centimeters","Centímetros"
"Configuration","Configuração"
"DHL service is not available at %s date","O serviço DHL não está disponível na data %s"
"Debug","Depurar"
"Depth","Profundidade"
"Development","Desenvolvimento"
"Direct","Direto"
"Displayed Error Message","Mensagem de Erro Apresentada"
"Divide Order Weight","Dividir o Peso da Encomenda"
"Documents","Documentos"
"Domestic economy select","Seleção de economia doméstica"
"Domestic express","Expresso nacional"
"Drop Box","Caixa de Depósito"
"Dropoff","Entrega"
"Easy shop","Compra fácil"
"Economy select","Seleção de economia"
"Empty response","Sem resposta"
"Enabled for Checkout","Ativado para Finalizar Compra"
"Europe First Priority","Envio Prioritário, Europa"
"Express 10:30","Expresso 10:30"
"Express 12:00","Expresso 12:00"
"Express 9:00","Expresso 09:00"
"Express envelope","Envelope Expresso"
"Express worldwide","Express mundial"
"FedEx 10kg Box","Caixa 10kg FedEx"
"FedEx 25kg Box","Caixa 25kg FedEx"
"FedEx Box","Caixa FedEx"
"FedEx Envelope","Envelope FedEx"
"FedEx Pak","Pack FedEx"
"FedEx Tube","Tubo FedEx"
"First Overnight","Envio Noturno Prioritário"
"Free Method","Método Gratuito"
"Freight","Frete"
"Freight worldwide","Transporte internacional"
"Gateway URL","URL do Gateway"
"Girth","Largura"
"Ground","Terrestre"
"Handling Applied","Processamento Aplicado"
"Handling Fee","Taxa de Processamento"
"Height","Altura"
"Home Delivery","Entrega ao Domicílio"
"Hub ID","ID do Hub"
"Inches","Polegadas"
"Indirect","Indireto"
"International Economy","Internacional económico"
"International First","Internacional Primeira"
"International Ground","Terrestre, Internacional"
"International Priority","Internacional Prioritário"
"Intl Economy Freight","Frete Económico Internacional"
"Intl Priority Freight","Frete Prioritário Internacional"
"Jumbo box","Caixa grande"
"Key","Chave"
"Kilograms","Quilogramas"
"Length","Comprimento"
"Live","Tempo real"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Peso Máximo do Pacote (Por favor contacte a sua transportadora para saber qual o peso máximo suportado)"
"Meter Number","Número do Contador"
"Mode","Modo"
"National Freight","Frete Nacional"
"No","Não"
"No packages for request","Não há requisições de pacotes"
"Non Documents","Não Documentos"
"Non documents","Não documentos"
"None","Nenhum"
"Not Required","Não Necessário"
"Order","Encomenda"
"Other","Outro"
"Others","Outros"
"Package","Pacote"
"Packages Request Type","Tipo de Pedido de Pacotes"
"Packaging","Acondicionamento"
"Pallet","Palete"
"Password","Palavra-passe"
"Please make sure to use only digits here. No dashes are allowed.","Por favor certifique-se que apenas usa dígitos neste campo. Não são permitidos hífens."
"Pounds","Libras"
"Priority Mail","Correio Prioritário"
"Priority Overnight","Prioritário Noturno"
"Regular","Normal"
"Regular Pickup","Levantamento Normal"
"Request Courier","Solicitar Mensageiro"
"Required","Obrigatório"
"Residential Delivery","Entrega Residencial"
"Response is in the wrong format","Resposta está no formato errado"
"Return","Voltar"
"Same day","Mesmo dia"
"Sample","Amostra"
"Sandbox Mode","Modo Sandbox"
"Sender","Remetente"
"Ship to Applicable Countries","Envio para Países Aplicáveis"
"Ship to Specific Countries","Envio para Países Específicos"
"Show Method if Not Applicable","Mostrar Método se Não Aplicável"
"Size","Tamanho"
"Sort Order","Ordenação"
"Specific","Específico"
"Standard Overnight","Normal, Noturno"
"Station","Estação"
"Subtotal","Sub-total"
"The field is applicable if the Smart Post method is selected.","O campo é aplicável se o método Smart Post estiver selecionado."
"The response is in wrong format.","A resposta está no formato errado."
"There is no items in this order","Esta encomenda não tem itens"
"Title","Título"
"UPS Expedited","Expedido pela UPS"
"UPS Three-Day Select","Selecionar UPS Três Dias"
"UPS Worldwide Expedited","Expedido por UPS Worldwide"
"Unable to retrieve tracking","Não é possível acompanhar a entrega"
"User ID","ID de Utilizador"
"Variable","Variável"
"Weight Unit","Unidade de Peso"
"Width","Largura"
"Yes","Sim"
"Your Packaging","O Seu Pacote"
"inch","polegada"
