"* Required Fields","* Campos Obrigatórios"
"Add All to Cart","Adicionar tudo ao carrinho"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar à Comparação"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Back","Voltar"
"Cannot specify product.","Não é possível especificar o produto."
"Click for price","Clique para ver o preço"
"Comment","Comentário"
"Comment:","Comentário:"
"Date Added","Data de Adição"
"Edit","Editar"
"Email Sender","Remetente de E-mail"
"Email Template","Template de Email"
"Email addresses, separated by commas","Endereços de email, separados por vírgulas"
"Enabled","Ativo"
"General Options","Opções Gerais"
"In stock","Em stock"
"Last Added Items","Últimos Items Adicionados"
"Message","Mensagem"
"Options Details","Detalhes das Opções"
"Out of stock","Esgotado"
"Price","Preço"
"Product","Produto"
"Product Details and Comment","Detalhes do Produto e Comentários"
"Qty","Qtd"
"RSS Feed","Feed RSS"
"Remove Item","Remover Item"
"Remove This Item","Remover Este Item"
"Remove item","Remover item"
"SKU","REF"
"Share Options","Opções de Partilha"
"Sharing Information","Informação de Partilha"
"User Description","Descrição do Utilizador"
"View Details","Ver Detalhes"
"View Product","Ver Produto"
"What's this?","O que é isto?"
"Wishlist","Lista de desejos"
