"Actions","Acțiuni"
"An error occurred while marking notification as read.","Eroare la marcarea notificării ca citită."
"An error occurred while marking the messages as read.","Eroare la marcarea mesajelor ca citite."
"An error occurred while removing messages.","Eroare la eliminarea mesajelor."
"An error occurred while removing the message.","Eroare la eliminarea mesajului."
"Are you sure?","Eşti sigur(ă)?"
"Date Added","Data Adăugării"
"Last Update","Ultima actualizare"
"Mark as Read","Marchează ca Citit"
"Mark as read","Marcare ca citit"
"Message","Mesaj"
"Messages Inbox","Mesaje"
"Notifications","Notificări"
"Please select messages.","Vă rugăm selectați mesajele."
"Read Details","Citire detalii"
"Remove","Elimină"
"Severity","Severitate"
"Show List","Arată lista"
"Show Toolbar","Arată bara de instrumente"
"The message has been marked as read.","Mesajul a fost marcat ca citit."
"The message has been removed.","Mesajul a fost șters."
"Total of %d record(s) have been marked as read.","Un total de %d înregistrări au fost marcate ca citite."
"Total of %d record(s) have been removed.","Un total de %d înregistrări au fost eliminate."
"Unable to proceed. Please, try again.","Imposibil de continuat. Vă rugăm încercați din nou."
"Update Frequency","Frecvența de actualizare"
"Use HTTPS to Get Feed","Folosește HTTPS pentru a obține Feed"
"Wrong message type","Tipul de mesaj este greșit"
"critical","critic"
"notice","înștiințare"
