"* Required Fields","* Campuri obligatorii"
"Comment","Comentariu"
"Contact Form","Formular de Contact"
"Contact Information","Informații de contact."
"Contact Us","Contactați-ne"
"Contact Us Form","Formular Contact"
"Contacts","Contacte"
"Email","E-mail"
"Email Options","Opțiuni Email"
"Email Sender","Expeditor email"
"Email Template","șablon email"
"Enable Contact Us","Activați Contactați-ne"
"Name","Numeric"
"Send Emails To","Trimiteți Email către"
"Submit","Trimite"
"Telephone","Telefon"
"Unable to submit your request. Please, try again later","Eroare la transmiterea cererii. Încercați mai târziu."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Întrebarea dvs. a fost trimisă și va primi răspuns în cel mai scurt timp. Vă mulțumim că ne-ați contactat."
