"* Required Fields","* Обязательные поля"
"--Please Select--","-- Выберите --"
"<label>Make Check payable to:</label> %s","<label>Сделать чек оплачиваемым для:</label> %s"
"Card Verification Number","Проверочный код карты"
"Credit Card Number","Номер кредитной карты"
"Credit Card Number: xxxx-%s","номер кредитной карты: xxxx-%s"
"Credit Card Type","Тип кредитной карты"
"Credit Card Type: %s","Тип кредитной карты: %s"
"Credit Card Types","Типы кредитных карт"
"Credit card type is not allowed for this payment method.","Тип кредитной карты не допускается для данного метода оплаты."
"Currency","Валюта"
"Day","День"
"Enabled","Включено"
"Expiration Date","Дата окончания срока действия"
"Expiration Date: %s/%s","Дата истечения срока действия: %s/%s"
"Incorrect credit card expiration date.","Неправильный срок истечения кредитной карты."
"Issue Number","Номер проблемы"
"Make Check payable to: %s","Сделать чек оплачиваемым для: %s"
"Maximum Order Total","Сумма максимального заказа"
"Merchant ID","ID продавца"
"Minimum Order Total","Сумма минимального заказа"
"Month","Месяц"
"N/A","Н/Д"
"Name on Card","Имя на карте"
"Name on the Card: %s","Имя на карте: %s"
"New Order Status","Статус нового заказа"
"Password","Пароль"
"Payment Method","Метод оплаты"
"Payment Methods","Способы оплаты"
"Payment Methods Section","Раздел методов оплаты"
"Payment from Applicable Countries","Оплата из допустимых стран"
"Payment from Specific Countries","Оплата из определенных стран"
"Please enter a valid credit card verification number.","Пожалуйста введите действительный номер проверки карты."
"Purchase Order Number","Оплатить номер заказа"
"Purchase Order Number: %s","Оплатить номер заказа: %s"
"Saved CC","Кредитной картой (сохранение информации)"
"Selected payment type is not allowed for billing country.","Тип выбранного платежа не допускается для выставления счетов страны."
"Send Check to","Отправить чек к"
"Send Check to:","Отправить чек к:"
"Shipping Amount","Стоимость доставки"
"Sort Order","Порядок Сортировки"
"Start Date","Дата начала"
"Tax Amount","Величина налога"
"Test Mode","Тестовый режим"
"Title","Заголовок"
"What is this?","Что это?"
"Year","Год"
"Zero Subtotal Checkout","Без указания оплаты"
