"Actions","ක්රියාවන්"
"Active","ක්රියාකාරී"
"Add New Rule","නව රීතිය එක් කරන්න"
"Apply","අයදුම් කරන්න"
"Apply Rules","රීති යොදන්න"
"Attribute Set","ගුණාංග කට්ටලය"
"Catalog","නාමාවලිය"
"Catalog Price Rule","නාමාවලි මිල රීතිය"
"Catalog Price Rules","නාමාවලි මිල රීති"
"Category","වර්ගය"
"Conditions","කොන්දේසි"
"Conditions Combination","කොන්දේසි සංයෝජනය"
"Customer Groups","පාරිභෝගික කණ්ඩායම්"
"Date From","දින සිට"
"Date To","දිනය දක්වා"
"Description","විස්තර"
"Discount Amount","වට්ටම් මුදල"
"Edit Rule","රීතිය සංස්කරණය කරන්න"
"Expiration Date","කල්පිරෙන දිනය"
"General Information","සාමාන්ය තොරතුරු"
"ID","හැඳුනුම්පත"
"Inactive","අක්රියයි"
"New Rule","නව රීතිය"
"No","නැත"
"Options","විකල්ප"
"Priority","ප්රමුඛත්වය"
"Product Attribute","නිෂ්පාදන ගුණාංගය"
"Promotions","උසස්වීම්"
"Rule Information","රීති තොරතුරු"
"Rule Name","රීතියේ නම"
"Save and Apply","සුරකින්න සහ අයදුම් කරන්න"
"Save and Continue Edit","සුරකින්න සහ දිගටම සංස්කරණය කරන්න"
"Start Date","ආරම්භක දිනය"
"Status","තත්ත්වය"
"This rule no longer exists.","මෙම රීතිය තවදුරටත් නොපවතී."
"Type","ටයිප් කරන්න"
"Website","වෙබ් අඩවිය"
"Websites","වෙබ් අඩවි"
"Yes","ඔව්"
