"%s and greater","%s a väčšie"
"Advanced Search","Rozšírené vyhľadávanie"
"All","Všetky"
"Catalog Advanced Search","Pokročilé vyhľadávanie v katalógu"
"Catalog Search","Katalóg vyhľadávania"
"Don't see what you're looking for?","Nemôžete nájsť, čo hľadáte?"
"Go to Home Page","Prejdite na domovskú stránku"
"Grid","Mriežka"
"Home","Domov"
"List","Zoznam"
"Maximum Query Length","Maximálna dĺžka dotazu"
"Minimal Query Length","Minimálna dĺžka dotazu"
"No","Nie"
"Popular Search Terms","Často vyhľadávané výrazy"
"Rebuild Catalog product fulltext search index","Obnoviť indexy pre fulltextové vyhľadávanie v katalógu produktov"
"Relevance","Relevancia"
"Results","Výsledky"
"Search","Hľadať"
"Search Settings","Nastavenia vyhľadávania"
"Search Terms","Hľadané výrazy"
"Search entire store here...","Hľadať celý obchod tu..."
"Search results for '%s'","Výsledky vyhľadávania pre '%s'"
"Search results for: '%s'","Výsledky vyhľadávania pre: '%s'"
"There are no search terms available.","Nie sú dostupné žiadne vyhľadávané výrazy."
"Yes","Áno"
"Your search returns no results.","Vyhľadávanie nenašlo žiadne relevantné výsledky."
"up to %s","viac ako %s"
