"%s Item(s)","Položiek: %s"
"-- Please Select --","-- Prosím vyberte --"
"About the calendar","O kalendári"
"Account","Účet"
"Close","Zavrieť"
"Close Window","Zavrieť okno"
"Default Description","Predvolený Popis"
"Empty","Prázdne"
"Help Us to Keep Magento Healthy","Pomôžte nám udržať OpenMage bez chýb"
"Interface Language","Jazyk rozhrania"
"Items %s to %s of %s total","Položiek %s do %s z celkového počtu %s"
"Menu","Ponuka"
"Next","Nasledujúca"
"Page:","Stránka:"
"Previous","Predchádzajúca"
"Report All Bugs","Nahláste všetky chyby"
"Search","Hľadať"
"Select Store","Vyber obchod"
"Show","Zobraziť"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Toto je iba  predvádzací obchod. Žiadna z objednávok odoslaná prostredníctvom tohoto obchodu nebude vybavená."
"View All","Zobraziť všetko"
"Welcome, %s!","Vitaj, %s!"
"Your Language","Tvoj jazyk"
"per page","na stránku"
