"Actions","Akcie"
"Add Answer","Pridať odpoveď"
"Add New Answer","Pridať novú odpoveď"
"Add New Poll","Pridať novú anketu"
"Answer Title","Titulok odpovede"
"Answer Title:","Titulok odpovede:"
"Answer with the same title in this poll","Odpoveď pod rovnakým titulkom v tejto ankete"
"Are you sure you want to delete it?","Naozaj chcete toto zmazať?"
"Assigned Answers","Priradené odpovede"
"Closed","Zatvorené"
"Community Poll","Verejná anketa"
"Date Closed","Dátum uzavretia"
"Date Posted","Dátum vytvorenia"
"Delete","Zmazať"
"Delete Answer","Zmazať odpoveď"
"Delete Poll","Zmazať anketu"
"Edit Answer '%s'","Editovať odpoveď '%s'"
"Edit Poll '%s'","Editovať anketu '%s'"
"Edit Poll Answer","Editovať anketné odpovede"
"New Poll","Nová anketa"
"Number of Responses","Počet odpovedí"
"Open","Otvorené"
"Poll Answers","Anketné odpovede"
"Poll Information","Informácie o ankete"
"Poll Manager","Správa ankiet"
"Poll Question","Anketná otázka"
"Poll information","Informácie o ankete"
"Poll with the same question","Anketa s rovnakou otázkou"
"Save Answer","Uložiť odpoveď"
"Save Poll","Uložiť anketu"
"Status","Stav"
"Visible In","Viditeľný v"
"Vote","Hlasuj"
"Votes Count","Počítadlo hlasov"
"Votes Count:","Počítadlo hlasov:"
