"# of Items (and above)","# z položiek (a vyššie)"
"# of Items vs. Destination","# z položiek vs. miesto doručenia"
"Calculate Handling Fee","Vypočitať manipulačný poplatok"
"Carrier:","Prepravca:"
"City","Mesto"
"Close Window","Zavrieť okno"
"Condition","Podmienky"
"Country","Krajina"
"Custom Value","Uživatelská hodnota"
"Date","Dátum"
"Delivered on:","Doručené na:"
"Delivered to:","Doručené pre:"
"Description","Popis"
"Displayed Error Message","Zobrazené chybové hlásenia"
"Enabled","Zapnuté"
"Error:","Chyba:"
"Fixed","Pevné"
"Flat Rate","Paušálny pomer"
"Free Shipping","Doručenie zdarma"
"Handling Fee","Manipulačný poplatok"
"Import","Nahrať"
"Invalid Table Rate code for type %s: %s","Neplatná tabuľka cien pre typ %s: %s"
"Invalid Table Rate code type: %s","Neplatná tabuľka cien pre: %s"
"Invalid Table Rates File Format","Neplatný formát súbor tabuľkových poplatkov"
"Local Time","Lokálny čas"
"Location","Miesto"
"N/A","NEDOST."
"None","Žiadne"
"Options","Možnosti"
"Order Subtotal (and above)","Medzisúčet objednávky (a vyššie)"
"Origin","Pôvod"
"Per Order","na objednávku"
"Per Package","Na zásielku"
"Percent","Percentá"
"Price","Cena"
"Price vs. Destination","Cena vs. Miesto doručenia"
"Region/State","Kraj/štát"
"Service Type:","Typ služby:"
"Shipment #","Preprava č."
"Shipped or billed on:","Doručené alebo účtované na:"
"Shipping Methods","Spôsoby dopravy"
"Shipping Settings","Nastavenie doručenia"
"Signed by:","Podpísané:"
"Sort Order","Poradie radenia"
"Status:","Stav:"
"Street Address","Ulica"
"Street Address Line 2","2. riadok adresy"
"There is no tracking available for this shipment.","Sledovanie zásielky pre túto metódu doručenia nie je dostupné"
"There is no tracking available.","Sledovanie zásielky nie je dostupné."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Táto metóda doručenia nie je  momentálne k dispozícii. Ak si želáte použiť túto metódu, kontaktujte nás prosím."
"Title","Titulok"
"Track:","Sledovanie zásielky:"
"Tracking Number:","Číslo sledovania zásielky:"
"Tracking information is currently unavailable.","Údaje o sledovaní zásielky sú momentálne nedostupné."
"Type","Typ"
"Weight (and above)","Váha (a vyššia)"
"Weight vs. Destination","Váha vs. Miesto doručenia"
"Weight:","Váha:"
"ZIP/Postal Code","Poštové smerovacie číslo"
"contact us","kontaktujte nás"
