"-- Please Select --","-- Prosím vyberte --"
"Actions","Akcie"
"All","Všetky"
"All Product Types","Všetky typy produktu"
"Apply","Použiť"
"Big Image","Veľký obrázok"
"Categories","Kategórie"
"Close","Zavrieť"
"Continue","Pokračovať"
"Delete","Zmazať"
"Export to:","Exportovať do:"
"Frontend Properties","Vlastnosti Frontend-u"
"Images","Obrázky"
"Next page","Ďalšia strana"
"Open Chooser","Voľba otvorenia"
"Page","Strana"
"Previous page","Predchádzajúca strana"
"Products","Produkty"
"Save and Continue Edit","Uložiť a pokračovať v upravách"
"Select All","Vybrať všetko"
"Select Visible","Vybrať viditeľné"
"Settings","Nastavenia"
"Sort Order","Poradie radenia"
"Template","Šablóna"
"The information in this tab has been changed.","Informácie na tejto záložke sa zmenili."
"This tab contains invalid data. Please solve the problem before saving.","Táto záložka obsahuje chybné údaje. Odstráňte ich prosím pred uložením."
"Thumbnail","Náhľad"
"Total %d records found","Počet nájdených záznamov: %d"
"Type","Typ"
"Unselect All","Zrušiť výber všetkých"
"Unselect Visible","Zrušiť výber viditeľných"
"View","Zobraziť"
"items selected","vybrané položky"
"of %s pages","z %s"
"per page","na stránku"
