"(Copy data from: %s)","(Kopiraj podatke iz: %s)"
"-- Please Select --","-- Prosim izberi --"
"A name is required","Potrebno je vpisati Ime"
"ALL GROUPS","VSE SKUPINE"
"Add Attribute","Dodaj atribut"
"Add Group","Dodaj skupino"
"Add New","Dodaj novo"
"Add New Attribute","Dodaj nov atribut"
"Add New Group","Dodaj novo Skupino"
"Add New Images","Dodaj nove slike"
"Add New Set","Dodaj nov set"
"Add Product","Dodaj artikle"
"Add to Cart","Dodaj v košarico"
"Add to Compare","Dodaj v primerjavo"
"Add to Wishlist","Dodaj na spisek želja"
"All Product Types","Vsi tipi artiklov"
"All Websites","Vse spletne strani"
"Attribute Information","Informacije Atributa"
"Attribute Name:","Ime Atributa:"
"Attribute Set","Set Atributa"
"Autogenerate","Samodejno generiraj"
"Back","Nazaj"
"Based On","Bazira na"
"Bottom/Left","Spodaj/Levo"
"Bottom/Right","Spodaj/Desno"
"Browse By","Brskaj Po"
"Catalog","Katalog"
"Catalog, Search","Katalog, Iskanje"
"Categories","Kategorije"
"Category","Kategorija"
"Category Data","Podatki Kategorije"
"Close Window","Zapri okno"
"Compare Products","Primerjaj artikle"
"Continue","Nadaljuj"
"Create Empty","Ustvari Prazno"
"Customer Group","Skupina Kupca"
"Delete","Izbriši"
"Delete Attribute","Izbriši Atribut"
"Delete Attribute Set","Izbriši set Atributov"
"Delete Category","Izbriši Kategorijo"
"Delete Option","Izbriši Možnost"
"Description","Opis"
"Disabled","Izkljuèeno"
"Double click on a group to rename it","Za spremenitev imena skupine kliknite z dvojnim klikom na skupino"
"Duplicate","Napravi dvojnik"
"Edit","Uredi"
"Edit Attribute Set '%s'","Uredi set Atributov '%s'"
"Edit Search","Uredi Iskanje"
"Edit Search '%s'","Uredi Iskanje '%s'"
"Empty","Izprazni"
"Enabled","Vkljuèeno"
"Failed","Napaka"
"First Name","Ime"
"General Information","Splošne informacije"
"Grid","Mreža"
"Groups","Skupine"
"Home","Domov"
"Last Name","Priimek"
"Name","Ime"
"New Products","Novi artikli"
"No","Ne"
"None","Prazno"
"OR","ALI"
"Options","Možnosti"
"Out of stock","Ni na zalogi"
"Percentage","Procent"
"Please select one or more attributes.","Prosim izberite enega ali veè atributov."
"Please wait...","Prosim poèakajte..."
"Price","Cena"
"Price:","Cena:"
"Product","Artikl"
"Product Categories","Kategorije Artiklov"
"Product ID","ID Artikla"
"Product Name","Ime Artikla"
"Products","Artikli"
"Qty","Kolièina"
"Quantity","Kolièina"
"Reset","Resetiraj"
"Results","Rezultati"
"Save","Shrani"
"Search","Išèi"
"Show","Pokaži"
"Store","Trgovina"
"Store View","Pogled trgovine"
"Tax","Davek"
"Type","Tip"
"View Details","Poglej podrobnosti"
"Website","Spletna Stran"
"Yes","Da"
"Zoom In","Poveèava"
"Zoom Out","Pomanjšava"
"and","in"
"per page","na stran"
