"Active","Aktivno"
"Add New Rule","Dodaj novo pravilo"
"Apply","Potrdi"
"Attribute Set","Set Atributa"
"Catalog","Katalog"
"Category","Kategorija"
"Customer Groups","Skupine kupcev"
"Date Expire","Konèni datum"
"Date Start","Datum zaèetka"
"Description","Opis"
"Edit Rule","Uredi pravilo"
"Edit Rule '%s'","Uredi pravilo '%s'"
"Expiration Date","Konèni datum"
"From Date","Od datuma"
"General Information","Splošne informacije"
"Inactive","Neaktivno"
"New Rule","Novo pravilo"
"No","Ne"
"Options","Možnosti"
"Priority","Prioriteta"
"Promotions","Promoviranje"
"Rule Information","Informacija pravila"
"Rule Name","Ime pravila"
"Start Date","Datum zaèetka"
"To Date","Do datuma"
"Type","Tip"
"Website","Spletna Stran"
"Yes","Da"
