"Address","Naslov"
"City","Mesto"
"Company","Podjetje"
"Continue","Nadaljuj"
"Country","Država"
"Custom","Poljubno"
"Daily","Dnevno"
"Edit","Uredi"
"Edit Shopping Cart","Uredi nakupovalno košarico"
"Email Address","Email Naslov"
"Enabled","Vkljuèeno"
"Items in Your Shopping Cart","Artikli v vaši košarici"
"Login","Vpiši"
"Never","Nikoli"
"No","Ne"
"Order","Naroèilo"
"Password","Geslo"
"Payment Method","Naèin plaèila"
"Please select a shipping method...","Prosim izberite naèin dostave..."
"Price","Cena"
"Product","Artikl"
"Product Name","Ime Artikla"
"Qty","Kolièina"
"Reports","Poroèila"
"Shipping","Pošiljanje"
"Shipping Address","Naslov dostave"
"Shipping Information","Informacije o pošiljanju"
"Shipping Method","Naèin dostave"
"State/Province","Provinca/Država"
"Street Address","Naslov (ulica)"
"Submitting order information...","Pošiljam informacije o naroèilu..."
"Subtotal","Skupaj za plaèilo"
"Telephone","Telefon"
"Update Shipping Method","Posodobi naèin pošiljanja"
"User","Uporabnik"
"View","Pogled"
"Yes","Da"
