"Add Answer","Dodaj odgovor"
"Add New Answer","Dodaj nov odgovor"
"Add New Poll","Dodaj novo anketo"
"Answer Title","Naslov odgovora"
"Answer Title:","Naslov Odgovora:"
"Are you sure you want to delete it?","Ste preprièani izbrisati?"
"Assigned Answers","Pripisani odgovori"
"Closed","Zakljuèeno"
"Date Closed","Zaprto Dne"
"Date Posted","Poslano Dne"
"Delete","Izbriši"
"Delete Answer","Izbriši odgovor"
"Delete Poll","Izbriši anketo"
"Edit Answer '%s'","Uredi odgovor '%s'"
"Edit Poll '%s'","Uredi anketo '%s'"
"Edit Poll Answer","Uredi odgovore v anketi"
"New Poll","Nova anketa"
"Open","Odprto"
"Poll Answers","Odgovori v anketi"
"Poll Information","Informacije o anketi"
"Poll Manager","Urednik Anket"
"Poll Question","Anketno vprašanje"
"Save Answer","Shrani odgovor"
"Save Poll","Shrani anketo"
"Visible In","Vidno v"
"Vote","Glasuj"
"Votes Count","Število glasov"
"Votes Count:","Število glasov:"
