"%d Review(s)","%d Ocen"
"%s Review(s)","%s Ocen"
"(Posted on %s)","(Pripisano %s)"
"1 star","1 zvezdica"
"2 stars","2 zvezdici"
"3 stars","3 zvezdice"
"4 stars","4 zvezdice"
"5 stars","5 zvezdic"
"Add New Review","Dodaj novo oceno"
"All Reviews","Vse ocene"
"Are you sure you want to do this?","Ste preprièani to izvesti?"
"Back","Nazaj"
"Customer","Kupec"
"Delete","Izbriši"
"Guest","Gost"
"Name","Ime"
"Nickname","Vzdevek"
"Price","Cena"
"Product","Artikl"
"Product Name","Ime Artikla"
"Product Rating","Ocena artikla"
"Product Rating:","Ocena artikla:"
"Qty","Kolièina"
"Rating:","Ocena:"
"Type","Tip"
"View Details","Poglej podrobnosti"
"Visible In","Vidno v"
"Your Rating:","Vaša ocena:"
