"Action","Akcija"
"Are you sure you want to delete the selected backup(s)?","Sigurni ste da želite da izbrišete izabran(e) backup(e)?"
"Backups","Rezervne kopije"
"Create Backup","Kreiranje rezervne kopije"
"Database","Baza podataka"
"Database Backup","Rezervna kopija baze podataka"
"Database and Media","Baze podataka i medij"
"Database and Media Backup","Baze podataka i rezervne kopija medija"
"Download","Preuzimanje"
"Enable Scheduled Backup","Omogući planirano pravljenje rezervne kopije"
"Frequency","Učestalost"
"Maintenance Mode","Režim Održavanja"
"Name","Ime"
"Rollback","Vraćanje na prethodno stanje"
"Start Time","Vreme početka"
"System","Sistem"
"System (excluding Media)","Sistem (bez medija)"
"System Backup","Rezervna kopija sistema"
"Time","Vreme"
"Type","Tip"
