"Actions","Radnje"
"Active","Aktivan"
"Apply","Primeni"
"Catalog","Katalog"
"Customer Groups","Grupe kupaca"
"Description","Opis"
"Discount Amount","Iznos popusta"
"General Information","Opšte informacije"
"Inactive","Neaktivan"
"No","Ne"
"Payment Method","Način plaćanja"
"Save and Continue Edit","Sačuvaj i nastavi uređivanje"
"Shipping Method","Način Dostave"
"Special Price","Posebna cena"
"Subtotal","Međuzbir"
"This rule no longer exists.","Ovo pravilo se više ne postoji."
"Total","Ukupno"
"Total Weight","Ukupna težina"
"Website","Web sajt"
"Websites","Web stranice"
"Yes","Da"
