"Action","Akcija"
"Add","Dodaj"
"Add to Cart","Dodaj u korpu"
"Add to Wishlist","Dodaj u listu želja"
"Are you sure you want to do this?","Jeste li sigurni da želite da uradite ovo?"
"Are you sure?","Da li ste sigurni?"
"Back","Nazad"
"Block Information","Blok informacija"
"Change status","Promena statusa"
"Country","Država"
"Customers","Kupci"
"Delete","Obrisati"
"Disabled","Onemogućeno"
"Email","E-pošta"
"First Name","Ime"
"General Information","Opšte informacije"
"Grid","Mreža"
"Last Name","Prezime"
"List","Lista"
"Name","Ime"
"Pending","Na čekanju"
"Price","Cena"
"Product Name","Naziv proizvoda"
"Products","Proizvodi"
"Remove","Ukloni"
"SKU","Šifra"
"Save and Continue Edit","Sačuvaj i nastavi uređivanje"
"Store View","Prikaz prodavnice"
"Tags","Oznake"
"Update","Ažuriraj"
"[STORE VIEW]","[PRIKAZ PRODAVNICE]"
