"-- Please Select --","-- Molim odaberite --"
"Are you sure you want to do this?","Jeste li sigurni da želite da uradite ovo?"
"Back","Nazad"
"Code","Kod"
"Country","Država"
"Default Country","Podrazumevana država"
"Excl. Tax","Bez poreza"
"Grand Total Excl. Tax","Ukupno bez Poreza"
"Grand Total Incl. Tax","Ukupno s Porezom"
"Inc. Tax","Iznos sa Pdv"
"Incl. Tax","Iznos sa PDV"
"Name","Ime"
"No","Ne"
"None","Ništa"
"Reset","Resetovati"
"Row Total","Red ukupno"
"Sales","Prodaja"
"Save and Continue Edit","Sačuvaj i nastavi uređivanje"
"Sort Order","Redosled porudžbina"
"State","Država"
"Tax","Porez"
"This rule no longer exists.","Ovo pravilo se više ne postoji."
"Total","Ukupno"
"Yes","Da"
