"API Login ID","ИД за пријављивање АПИ"
"Accepted Currency","Прихваћене валуте"
"Authorize Only","Само ауторизовати"
"Authorize and Capture","Одобрити и прихватити"
"Cancel","Одустани"
"Credit Card Types","Тип кредитне картице"
"Credit Card Verification","Верификација кредитне картице"
"Debug","Отклањање грешака"
"Email Customer","Е -поште купца"
"Enabled","Омогућено"
"Invalid amount for capture.","Неисправна вредност за прихватање."
"Invalid amount for refund.","Неисправна вредност за повраћај новца."
"Maximum Order Total","Минимални износ поруџбине"
"Merchant's Email","Емаил трговаца"
"Minimum Order Total","Минимални износ поруџбине"
"New Order Status","Нови статус поруџбине"
"Payment Action","Акција плаћања"
"Payment capturing error.","Грешка код прихватања плаћања."
"Payment from Applicable Countries","Плаћање из земаља где је применљиво"
"Payment from Specific Countries","Плаћања из одређених земаља"
"Payment refunding error.","Грешка плаћања код повраћаја новца."
"Payment voiding error.","Грешка код поништавања плаћања."
"Sort Order","Редослед слагања"
"Test Mode","Тест режим"
"Title","Наслов"
"Transaction Key","Кључ трансакције"
"authorize","одобри"
"authorize and capture","одобри и прихвати"
"capture","прихвати"
"refund","повраћај новца"
"void","поништи"
