"--Please Select--","--Молим изабрати--"
"Card Verification Number","Верификациони број картице"
"Credit Card Number","Број кредитне картице"
"Credit Card Type","Тип кредитне картице"
"Credit Card Types","Тип кредитне картице"
"Currency","Валута"
"Day","Дан"
"Enabled","Омогућено"
"Expiration Date","Датум истека"
"Maximum Order Total","Минимални износ поруџбине"
"Minimum Order Total","Минимални износ поруџбине"
"Month","Месец"
"New Order Status","Нови статус поруџбине"
"Password","Лозинка"
"Payment from Applicable Countries","Плаћање из земаља где је применљиво"
"Payment from Specific Countries","Плаћања из одређених земаља"
"Sort Order","Редослед слагања"
"Start Date","Почетни Датум"
"Test Mode","Тест режим"
"Title","Наслов"
"What is this?","Шта је ово?"
"Year","Година"
