"Action","Радња"
"Add to Cart","Додати у корпу"
"Add to Compare","Додај за поређење"
"Add to Wishlist","Додај у листу жеља"
"Any","Било који"
"Are you sure?","Јесте ли сигурни?"
"Bestsellers","Бестселера"
"Customer","Купац"
"Customers","Купци"
"Day","Дан"
"Description","Опис"
"Email","Е-пошта"
"First Name","Име"
"From","Од"
"Guest","Гост"
"ID","ИД"
"Last Name","Презиме"
"Month","Месец"
"Name","Име"
"No","Не"
"Orders","Поруџбине"
"Price","Цена"
"Products","Производи"
"Results","Резултати"
"Revenue","Приход"
"Search Query","Упит за претраживање"
"Shipping","Испорука"
"Shopping Cart","Листа артикала за куповину"
"Subtotal","Међузбир"
"Tax","Порез"
"Title","Наслов"
"To","Коме"
"Total","Укупно"
"Year","Година"
"Yes","Да"
