" [deleted]"," [Borttagen]"
"* Required Fields","* Obligatoriska fält"
"-- Please Select --","--Vänligen välj--"
"-- Please Select a Category --","-- Vänligen välj en kategori --"
"-- Please select --","--Vänligen välj--"
"--Please Select--","--Vänligen Välj--"
"1 Hour","1 timme"
"12 Hours","12 timmar"
"12h AM/PM","12 timmar FM/EM"
"2 Hours","2 timmar"
"24 Hours","24 timmar"
"24h","24 timmar"
"6 Hours","6 timmar"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading""> 404-fel</h1> <p>Sidan kan inte hittas.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>OBS</strong>: Captcha är skiftlägeskänsligt."
"About the calendar","Om kalendern"
"Account Created in:","Konto skapat i:"
"Account Information","Kontoinformation"
"Account Status","Kontostatus"
"Action","Åtgärd"
"Actions","Åtgärder"
"Active","Aktiv"
"Add","Lägg till"
"Add New","Lägg till ny"
"Add New Block","Lägg till nytt Block"
"Add New Image","Lägg till ny bild"
"Add New Role","Lägg till ny roll"
"Add New Template","Lägg till ny mall"
"Add New URL Rewrite","Lägg till ny URL Rewrite"
"Add New User","Lägg till en Ny Användare"
"Add New Variable","Lägg till ny variabel"
"Add Products","Lägg till produkter"
"Add URL Rewrite for a Category","Lägg till URL-omskrivning för en Kategori"
"Add URL Rewrite for a Product","Lägg till URL-omskrivning för en Produkt"
"Add after","Lägg till efter"
"Additional Cache Management","Ytterligare cache hantering"
"Admin","Administratör"
"All","Alla"
"All Allowed Countries","Alla tillåtna länder"
"All Cache","All cache"
"All Files","Alla filer"
"All Store Views","Alla butiksvyer"
"All Websites","Alla webbplatser"
"All countries","Alla länder"
"All valid rates have been saved.","Alla giltiga priser har sparats."
"Amounts","Belopp"
"An error occurred while clearing the JavaScript/CSS cache.","Ett fel uppstod när du rensade cacheminnet för JavaScript/CSS."
"An error occurred while clearing the image cache.","Ett fel uppstod när cachen rensades."
"An error occurred while saving account.","Ett fel uppstod när kontot sparades."
"Any","Valfri"
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"Assigned","Tilldelad"
"Attributes","Attribut"
"Authorize","Auktorisera"
"Automatic (equalize price ranges)","Automatisk (Jämna ut pris spannet)"
"Automatic (equalize product counts)","Automatisk (jämna ut produkt count)"
"Back","Tillbaka"
"Backup","Säkerhetskopiering"
"Backup Name","Säkerhetskopians namn"
"Backup options","Alternativ för säkerhetskopiering"
"Backups","Säkerhetskopior"
"Bestsellers","Bästsäljare"
"Billing Address","Faktureringsadress"
"Billing Address: ","Faktureringsadress: "
"Billing Agreements","Faktureringsavtal"
"Block Information","Block information"
"Blocks","Block"
"Browse Files...","Bläddra..."
"By Email","Via e-post"
"By IP","Via IP"
"By IP and Email","Via IP och E-post"
"Cache Control","Cache kontroll"
"Cache Management","Cache lagringen"
"Cache Type","Cachetyp"
"Cancel","Avbryt"
"Cannot add new comment.","Kan inte lägga till ny kommentar."
"Cannot add tracking number.","Kan inte lägga till sändningsnummer."
"Cannot do shipment for the order.","Kan inte göra försändelse för ordern."
"Cannot save shipment.","Kan inte spara försändelsen."
"Cannot send shipment information.","Kan inte skicka sändelseinformation."
"Cannot update item quantity.","Kan inte uppdatera artikelantal."
"Card Verification Number","Verifikationsnummer för kort"
"Catalog","Katalog"
"Catalog Rewrites","Katalog överskrivningar"
"Categories","Kategorier"
"Category","Kategori"
