"--Please Select--","--Vänligen Välj--"
"API Login ID","API inloggnings-Id"
"Accepted Currency","Accepterade valutor"
"Authorize.net Direct Post","Authorize.net direkt Post"
"Card Verification Number","Verifikationsnummer för kort"
"Close","Stäng"
"Credit Card Information","Kredit- eller betalkortsinformation"
"Credit Card Number","Kreditkortsnummer"
"Credit Card Type","Kreditkortstyp"
"Credit Card Types","Kreditkortstyper"
"Credit Card Verification","Kontokortsverifiering"
"Debug","Felsök"
"Email Customer","Email kund"
"Enabled","Aktiverad"
"Expiration Date","Utgångsdatum"
"Gateway URL","Gateway-URL"
"Maximum Order Total","Högsta orderbelopp"
"Merchant MD5","Köpman MD5"
"Merchant's Email","Merchants Email"
"Minimum Order Total","Minsta orderbelopp"
"New Order Status","Ny orderstatus"
"Payment Action","Betalningsåtgärd"
"Payment from Applicable Countries","Betalning från tillämpliga länder"
"Payment from Specific Countries","Betalning från specifika länder"
"Sort Order","Sorteringsordning"
"Test Mode","Testläge"
"Title","Titel"
"Transaction Key","Transaktionsnyckel"
"What is this?","Vad är det här?"
