"Base URL","Bas-URL"
"Configuration","Konfiguration"
"Confirm Password","Bekräfta lösenord"
"Continue","Fortsätt"
"Database","Databas"
"Download","Ladda ner"
"Email","E-post"
"Email Address","E-postadress"
"Enable Charts","Aktivera diagram"
"Encryption Key","Krypteringsnyckel"
"File System","Filsystem"
"First Name","Förnamn"
"Host","Värd"
"Last Name","Efternamn"
"Password","Lösenord"
"Password Confirmation","Lösenords bekräftelse"
"Personal Information","Personlig information"
"Report All Bugs","Rapportera alla buggar"
"Secure Base URL","Säker bas-URL"
"User Name","Användarnamn"
"User Password","Användarlösenord"
"Username","Användarnamn"
