"""Remember Me"" Default Value","""Kom ihåg mig"" standardvärdet"
"* Required Fields","* Obligatoriska fält"
"Address","Adress"
"Address Information","Adressinformation"
"Back","Tillbaka"
"City","Stad"
"Close","Stäng"
"Company","Företag"
"Confirm Password","Bekräfta lösenord"
"Continue","Fortsätt"
"Country","Land"
"Create an Account","Skapa ett konto"
"Email Address","E-postadress"
"Enable ""Remember Me""","Aktivera ""Kom ihåg mig"""
"Enable Persistence","Aktivera beständighet"
"Forgot Your Password?","Glömt ditt lösenord?"
"Forgot your password?","Glömt ditt lösenord?"
"General Options","Allmänna inställningar"
"Login","Logga in"
"New Customers","Nya kunder"
"Password","Lösenord"
"Persist Shopping Cart","Persisterande"
"Persistence Lifetime (seconds)","Persistens livstid (sekunder)"
"Persistent Shopping Cart","Persisterande kundvagn"
"Personal Information","Personlig information"
"Please select region, state or province","Ange region eller område"
"Registered Customers","Registrerade kunder"
"Remember Me","Kom ihåg mig"
"Save in address book","Spara i adressboken"
"Sign Up for Newsletter","Registrera dig för nyhetsbrev"
"State/Province","Län"
"Street Address","Gatuadress"
"Submit","Skicka"
"VAT Number","VAT-nummer"
"What's this?","Vad är detta?"
"Zip/Postal Code","Postnummer"
