"Action","Åtgärd"
"Add","Lägg till"
"Add to Cart","Lägg till i kundvagn"
"Add to Wishlist","Lägg till i önskelista"
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"Are you sure?","Är du säker?"
"Back","Tillbaka"
"Block Information","Block information"
"Change status","Ändra status"
"Country","Land"
"Customer Since","Kund sedan"
"Customers","Kunder"
"Delete","Ta bort"
"Disabled","Inaktiverad"
"Email","E-post"
"First Name","Förnamn"
"General Information","Allmän Information"
"Grid","Rutnät"
"Last Name","Efternamn"
"List","Listvy"
"Name","Namn"
"Pending","Väntar"
"Price","Pris"
"Product Name","Produktnamn"
"Products","Produkter"
"Remove","Ta bort"
"SKU","Art.nr"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"Store View","Butiksvy"
"Tags","Taggar"
"Update","Uppdatera"
"ZIP/Post Code","Postnummer"
"[STORE VIEW]","[BUTIKSVY]"
