"-- Please Select --","--Vänligen välj--"
"Add New Class","Lägg till ny klass"
"Add New Tax Rate","Lägg till ny skatteregel"
"Add New Tax Rule","Lägg till ny skatteregel"
"After Discount","Efter rabatt"
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"Back","Tillbaka"
"Before Discount","Före rabatt"
"Code","Kod"
"Country","Land"
"Customer Tax Class","Kundens Skattekategori"
"Default Country","Standardland"
"Delete Rate","Ta bort Avgift"
"Delete Rule","Ta bort regel"
"Display Prices","Visa priser"
"Display Shipping Amount","Visa fraktsumma"
"Display Subtotal","Visa delsumma"
"Display Zero Tax Subtotal","Visa Noll Moms Delsumma"
"Edit Rule","Redigera regel"
"Edit Tax Rate","Ändra momssats"
"Excl. Tax","-Exkl. Moms"
"Excluding Tax","Exklusive moms"
"Export Tax Rates","Exportera skattesatser"
"Grand Total (Excl. Tax)","Totalsumma (Exkl. Moms)"
"Grand Total (Excl.Tax)","Totalsumma (Exkl.Moms)"
"Grand Total (Incl. Tax)","Totalsumma (Inkl. Moms)"
"Grand Total (Incl.Tax)","Totalsumma (Inkl.Moms)"
"Grand Total Excl. Tax","Totalsumma Exkl. Moms"
"Grand Total Incl. Tax","Totalsumma Inkl. Moms"
"Import Tax Rates","Importera skattesatser"
"Inc. Tax","Inkl. moms"
"Incl. Tax","Inkl. Moms"
"Including Tax","Inklusive moms"
"Including and Excluding Tax","Inklusive och exklusive moms"
"Invalid file upload attempt","Ogiltig filuppladdningsförsök"
"Tax Rules","Momsregler"
"Name","Namn"
"New Rule","Ny regel"
"New Tax Rate","Ny momsklass"
"No","Nej"
"None","Inga"
"Priority","Prioritet"
"Product Tax Class","Produktens momsklass"
"Range From","Sträcker sig från"
"Range To","Sträcker sig till"
"Rate","Betygsätt"
"Rate Percent","Procent Betyg"
"Reset","Återställ"
"Row Total","Radsumma"
"Sales","Försäljning"
"Save Rate","Spara Sats"
"Save Rule","Spara Regel"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"Shipping & Handling (Excl.Tax)","Frakt & hantering (Exkl.Moms)"
"Shipping & Handling (Incl.Tax)","Frakt & hantering (Inkl.Moms)"
"Shipping (Excl. Tax)","Frakt (Exkl. Moms)"
"Shipping (Incl. Tax)","Frakt (Inkl. Moms)"
"Sort Order","Sorteringsordning"
"State","Län"
"State/Region","Stat/Region"
"Subtotal (Excl. Tax)","Delsumma (Exkl. Moms)"
"Subtotal (Excl.Tax)","Delsumma (Exkl.Moms)"
"Subtotal (Incl. Tax)","Delsumma (Inkl. Moms)"
"Subtotal (Incl.Tax)","Delsumma (Inkl.Moms)"
"Tax","Skatt"
"Tax Class for Shipping","Momsklasser för frakt"
"Tax Classes","Momsklasser"
"Tax Identifier","Skatte-Id"
"Tax Rate","Skattesats"
"Tax Rate Information","Information om skattesatser"
"Tax Rule Information","Information om skattesatser"
"Tax Titles","Skattesatser"
"The tax rate has been imported.","Skattesatsen har importerats."
"The tax rule has been deleted.","Momsregeln har tagits bort."
"This rule no longer exists.","Denna regel finns inte längre."
"Total","Summa"
"Unit Price","Styckpris"
"Yes","Ja"
"Zip/Post Code","Postnummer"
"Zip/Post is Range","Postnummer mellan"
