"-- Please Select --","--Vänligen välj--"
"Actions","Åtgärder"
"All","Alla"
"All Pages","Alla sidor"
"Anchor Categories","Ankarkategorier"
"Apply","Tillämpa"
"Assign to Store Views","Tilldela till Store vyer"
"Big Image","Stor bild"
"Categories","Kategorier"
"Choose...","Välj..."
"Close","Stäng"
"Continue","Fortsätt"
"Default Template","Förvald mall"
"Delete","Ta bort"
"Design Package/Theme","Design paketet/tema"
"Export to:","Exportera till:"
"Images","Bilder"
"Insert Widget","Infoga Widget"
"Layout Updates","Layout uppdateringar"
"New Widget Instance","Ny Widget instans"
"Next page","Nästa sida"
"Not Selected","Ej valt"
"Page","Sida"
"Previous page","Föregående sida"
"Products","Produkter"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"Select All","Markera alla"
"Select Visible","Markera synliga"
"Settings","Inställningar"
"Sort Order","Sorteringsordning"
"Template","Mall"
"The information in this tab has been changed.","Informationen i den här fliken har ändrats."
"Thumbnail","Tumnagel"
"Type","Typ"
"Unselect All","Avmarkera alla"
"Unselect Visible","Avmarkera synliga"
"View","Visa"
"Widget Insertion","Lägg till Widget"
"Widget Type","Widget typ"
"per page","per sida"
