"# of Use","Använt antal"
"%1$s incl tax.","%1$s inkl moms.."
"%s Item(s)","%s artiklar"
"(Copy data from: %s)","(Kopiera data från: %s)"
"* Required Fields","* Obligatoriska fält"
"-- Please Select --","--Vänligen välj--"
"A group with the same name already exists.","En grupp med samma namn existerar redan."
"A name is required","Ett namn är obligatoriskt"
"A product type is not defined for the indexer.","Produkttypen är inte definierad för indexeraren."
"ALL GROUPS","ALLA GRUPPER"
"AM","FM"
"Action","Åtgärd"
"Actual Price","Faktiskt pris"
"Add","Lägg till"
"Add Attribute","Lägg till Attribut"
"Add Design Change","Lägg till designförändring"
"Add Group","Lägg till grupp"
"Add New","Lägg till ny"
"Add New Attribute","Lägg till nytt attribut"
"Add New Attribute Set","Lägg till nytt attributset"
"Add New Group","Lägg till ny grupp"
"Add New Images","Lägg till nya bilder"
"Add New Option","Lägg till ny egenskap"
"Add New Row","Lägg till ny rad"
"Add New Search Term","Lägg till nya sökterm"
"Add New Set","Lägg till ny mängd"
"Add Product","Lägg till produkt"
"Add Product To Websites","Lägga till produkt till webbplatser"
"Add Root Category","Lägg till huvud kategori"
"Add Subcategory","Lägg till underkategori"
"Add Tax","Lägg till Moms"
"Add Tier","Lägg till nivå"
"Add to Cart","Lägg till i kundvagn"
"Add to Compare","Lägg till i jämför"
"Add to Wishlist","Lägg till i önskelista"
"Additional Information","Mer information"
"All","Alla"
"All Product Types","Alla produkttyper"
"All Websites","Alla webbplatser"
"All products","Alla produkter"
"All products - recently added products, New products - products marked as new","Alla produkter - senast tillagda produkter, nya produkter - produkter märkta som ny"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Alla produkter tillhörande denna mängd kommer tas bort! Är du säker att du vill ta bort denna attributmängd?"
"Allow All Products per Page","Tillåt alla produkter per sida"
"Allowed File Extensions","Tillåtna filtyper"
"Allowed file extensions to upload","Tillåtna filtyper för uppladdning"
"Amount","Belopp"
"Anchor Custom Text","Anpassad ankartext"
"Anchor Custom Title","Ankarets anpassade titel"
"Apply To","Gäller"
"Approved","Godkänd"
"Are you sure you want to delete this category?","Är du säker på att du vill ta bort denna kategori?"
"Are you sure you would like to remove all products from your comparison?","Är du säker på att du vill ta bort alla produkter från jämförelsen?"
"Are you sure you would like to remove this item from the compare products?","Är du säker på att du vill ta bort denna produkt från jämförelsen?"
"Are you sure?","Är du säker?"
"As low as:","Så lågt som:"
"Assign","Tilldela"
"Assign product link","Tilldela produktlänk"
"Assign product to category","Tilldela produkt till kategori"
"Assigned Products","Tilldelade produkter"
"Associated Products","Relaterade produkter"
"Attrib. Set Name","Namn för attributmängd"
"Attribute Information","Attributsinformation "
"Attribute Model","Attributmodell"
"Attribute Name:","Attributnamn:"
"Attribute Set","Attributgrupp"
"Attribute Sets","Attributsets"
"Attribute group with the ""/name/"" name already exists","Attributgrupp med detta ""/name/"" namn finns redan"
"Attribute with the same code already exists","Ett attribut med samma kod existerar redan"
"Attributes","Attribut"
"Attrribute names can be specified per store.","Attributnamn kan specificeras per butik."
"Autogenerate","Autogenerera"
"Availability:","Tillgänglighet:"
"Back","Tillbaka"
"Backend Model","Modell för administrationsdelen"
"Backend Table","Tabell för administrationsdelen"
"Backend Table Title","Tabelltitel för administrationsdelen"
"Backorders","Restorder"
"Based On","Baserat på"
"Before Order Confirmation","Före orderbekräftelse"
"Best Value","Placering"
"Block after Info Column","Block efter informationskolumn"
